Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Alavés,1,9.0,9,3,0,2,1,8.6,0.18,0.6,0.06,54,131,41.2,240,34,40.4,36.3,71,47.9,40.3,140,6,4.3,9,1.0,13.7
vs Athletic Club,1,9.0,9,3,0,2,1,10.0,0.21,2.0,0.22,34,135,25.2,292,46,37.0,35.6,72,37.5,34.9,183,11,6.0,15,1.67,14.1
vs Atlético Madrid,1,9.0,16,1,2,0,1,16.5,0.3,1.5,0.17,54,145,37.2,247,39,42.1,38.0,84,48.8,40.3,144,6,4.2,9,1.0,12.4
vs Barcelona,2,9.0,24,1,0,5,1,20.1,0.27,-2.9,-0.32,69,209,33.0,227,38,62.1,46.0,94,72.3,52.8,108,3,2.8,14,1.56,15.8
vs Betis,2,9.0,15,0,0,1,1,13.4,0.34,-0.6,-0.06,42,115,36.5,236,41,35.6,33.0,71,43.7,37.2,121,12,9.9,23,2.56,16.4
vs Celta Vigo,1,9.0,8,1,0,2,0,8.8,0.27,0.8,0.09,40,130,30.8,267,29,36.0,37.4,78,43.6,35.9,112,4,3.6,19,2.11,16.5
vs Elche,2,9.0,11,0,1,0,0,10.1,0.26,-0.9,-0.1,38,102,37.3,196,32,41.8,37.5,50,40.0,34.8,102,6,5.9,6,0.67,10.8
vs Espanyol,1,9.0,13,2,0,2,0,17.8,0.36,4.8,0.54,36,93,38.7,239,40,28.5,33.2,71,35.2,33.7,164,12,7.3,12,1.33,15.3
vs Getafe,1,9.0,9,0,0,3,0,7.2,0.32,-1.8,-0.2,31,103,30.1,227,35,36.6,36.2,54,37.0,36.1,99,3,3.0,15,1.67,16.4
vs Girona,2,9.0,6,0,0,1,0,10.7,0.34,4.7,0.52,23,71,32.4,194,47,30.9,33.1,46,23.9,29.5,94,5,5.3,17,1.89,19.1
vs Levante,2,9.0,13,1,1,1,0,12.5,0.4,-0.5,-0.05,47,109,43.1,223,37,35.4,34.3,57,52.6,42.2,79,4,5.1,12,1.33,16.0
vs Mallorca,1,9.0,10,1,0,1,0,8.4,0.22,-1.6,-0.18,33,93,35.5,199,29,31.7,34.0,51,58.8,50.3,123,2,1.6,13,1.44,16.1
vs Osasuna,1,9.0,7,1,0,1,0,7.5,0.28,0.5,0.06,41,129,31.8,276,32,34.8,34.8,66,50.0,41.2,112,7,6.3,28,3.11,18.8
vs Oviedo,1,9.0,4,0,0,1,0,5.9,0.2,1.9,0.21,36,98,36.7,242,25,35.1,32.3,46,28.3,31.3,97,5,5.2,20,2.22,17.0
vs Rayo Vallecano,1,9.0,11,1,0,2,0,12.5,0.32,1.5,0.17,48,121,39.7,249,57,32.5,33.1,77,51.9,42.4,144,6,4.2,17,1.89,16.1
vs Real Madrid,1,9.0,20,3,0,1,0,19.7,0.28,-0.3,-0.03,46,142,32.4,202,22,47.0,40.6,91,51.6,43.3,82,3,3.7,8,0.89,15.3
vs Real Sociedad,1,10.0,10,2,0,0,0,13.0,0.27,3.0,0.3,53,181,29.3,292,41,45.5,38.3,93,51.6,41.3,167,12,7.2,8,0.8,12.4
vs Sevilla,2,10.0,17,1,0,0,1,11.3,0.32,-4.7,-0.47,41,160,25.6,311,29,40.2,35.9,63,55.6,41.9,127,10,7.9,5,0.5,13.1
vs Valencia,1,9.0,10,0,0,3,0,9.0,0.3,-1.0,-0.11,46,113,40.7,225,38,38.2,36.0,46,58.7,44.4,107,3,2.8,16,1.78,20.2
vs Villarreal,2,9.0,16,0,0,2,0,12.9,0.31,-3.1,-0.34,47,96,49.0,188,37,32.4,33.0,90,38.9,35.1,115,3,2.6,9,1.0,14.5
