Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Alavés,22,9.0,168,96,71,77,20,83,145,57.2,62,98,27,71,67,235,259,7
vs Athletic Club,24,9.0,162,92,90,59,13,80,150,53.3,70,113,44,69,99,261,268,6
vs Atlético Madrid,22,9.0,136,85,66,54,16,77,139,55.4,62,90,18,72,70,206,226,4
vs Barcelona,25,9.0,176,96,111,55,10,101,199,50.8,98,122,49,73,60,236,252,7
vs Betis,25,9.0,143,95,73,59,11,61,122,50.0,61,111,43,68,77,220,203,9
vs Celta Vigo,24,9.0,138,91,70,56,12,79,129,61.2,50,104,28,76,81,219,204,5
vs Elche,26,9.0,166,92,62,80,24,73,145,50.3,72,86,31,55,61,227,224,4
vs Espanyol,22,9.0,139,73,62,61,16,60,117,51.3,57,71,25,46,64,203,244,2
vs Getafe,23,9.0,151,94,76,57,18,68,124,54.8,56,80,19,61,43,194,267,5
vs Girona,27,9.0,164,92,65,63,36,84,159,52.8,75,76,27,49,56,220,187,4
vs Levante,24,9.0,155,90,88,56,11,67,119,56.3,52,92,32,60,66,221,251,7
vs Mallorca,24,9.0,123,74,57,47,19,54,116,46.6,62,86,20,66,52,175,217,3
vs Osasuna,20,9.0,133,76,61,60,12,64,121,52.9,57,85,18,67,59,192,235,2
vs Oviedo,26,9.0,136,90,49,62,25,79,144,54.9,65,76,20,56,80,216,178,7
vs Rayo Vallecano,24,9.0,121,78,49,56,16,59,112,52.7,53,107,26,81,71,192,218,9
vs Real Madrid,22,9.0,169,91,118,38,13,112,205,54.6,93,103,45,58,75,244,203,10
vs Real Sociedad,26,10.0,149,88,76,53,20,87,166,52.4,79,125,41,84,82,231,305,11
vs Sevilla,28,10.0,177,101,83,73,21,87,153,56.9,66,111,31,80,63,240,232,7
vs Valencia,21,9.0,123,79,61,52,10,67,118,56.8,51,80,22,58,73,196,220,2
vs Villarreal,25,9.0,152,90,84,43,25,77,143,53.8,66,69,27,42,62,214,229,8
