Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Alavés,22,9.0,180,20.0,129,17,12,10,9,3,13,1.44,8,0,0,2,3,0
Athletic Club,24,9.0,196,21.78,141,19,8,13,10,5,14,1.56,6,1,1,1,3,2
Atlético Madrid,22,9.0,216,24.0,161,15,17,11,9,3,26,2.89,15,1,3,4,3,0
Barcelona,25,9.0,350,38.89,264,23,24,21,13,5,42,4.67,33,4,1,2,1,1
Betis,25,9.0,235,26.11,183,15,16,9,6,6,25,2.78,21,1,1,2,0,0
Celta Vigo,24,9.0,185,20.56,151,16,5,8,2,3,14,1.56,7,1,0,4,1,1
Elche,26,9.0,163,18.11,120,13,12,11,5,2,17,1.89,10,2,3,1,1,0
Espanyol,22,9.0,219,24.33,156,25,9,15,14,0,24,2.67,17,3,0,1,3,0
Getafe,23,9.0,133,14.78,82,21,10,11,7,2,17,1.89,9,2,3,2,1,0
Girona,27,9.0,149,16.56,106,12,11,11,6,3,10,1.11,7,0,2,1,0,0
Levante,24,9.0,162,18.0,118,12,10,14,6,2,21,2.33,12,0,3,4,1,1
Mallorca,24,9.0,152,16.89,106,19,9,8,8,2,18,2.0,13,2,0,1,2,0
Osasuna,20,9.0,141,15.67,103,15,9,7,6,1,12,1.33,11,1,0,0,0,0
Oviedo,26,9.0,134,14.89,98,10,11,6,4,5,6,0.67,3,1,1,0,0,1
Rayo Vallecano,24,9.0,188,20.89,136,22,5,12,7,6,19,2.11,11,3,2,1,1,1
Real Madrid,22,9.0,315,35.0,239,15,24,18,14,5,37,4.11,28,0,4,0,3,2
Real Sociedad,26,10.0,240,24.0,179,26,11,14,6,4,16,1.6,14,0,1,1,0,0
Sevilla,28,10.0,185,18.5,141,19,9,6,9,1,28,2.8,21,2,3,0,2,0
Valencia,21,9.0,150,16.67,108,13,8,14,5,2,19,2.11,15,3,1,0,0,0
Villarreal,25,9.0,229,25.44,172,19,13,12,11,2,26,2.89,20,0,3,3,0,0
