Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,1,9,9,810,9.0,8,0.89,28,20,71.4,3,3,3,2,22.2,0,0,0,0,
Athletic Club,1,9,9,810,9.0,9,1.0,31,23,71.0,4,2,3,2,22.2,0,0,0,0,
Atlético Madrid,1,9,9,810,9.0,10,1.11,24,14,62.5,4,4,1,2,22.2,1,1,0,0,0.0
Barcelona,2,9,9,810,9.0,10,1.11,29,19,72.4,7,1,1,3,33.3,2,2,0,0,0.0
Betis,2,9,9,810,9.0,10,1.11,34,24,70.6,4,4,1,2,22.2,1,0,1,0,100.0
Celta Vigo,1,9,9,810,9.0,11,1.22,40,29,72.5,0,7,2,0,0.0,1,0,1,0,100.0
Elche,2,9,9,810,9.0,9,1.0,28,19,71.4,3,5,1,3,33.3,1,1,0,0,0.0
Espanyol,1,9,9,810,9.0,11,1.22,41,30,75.6,4,3,2,3,33.3,1,1,0,0,0.0
Getafe,1,9,9,810,9.0,12,1.33,38,27,68.4,3,2,4,2,22.2,0,0,0,0,
Girona,2,9,9,808,9.0,19,2.12,53,34,67.9,1,3,5,1,11.1,2,2,0,0,0.0
Levante,2,9,9,810,9.0,17,1.89,49,33,67.3,2,2,5,2,22.2,1,1,0,0,0.0
Mallorca,1,9,9,810,9.0,14,1.56,42,27,71.4,2,2,5,1,11.1,3,2,1,0,33.3
Osasuna,1,9,9,810,9.0,9,1.0,45,36,82.2,3,1,5,2,22.2,1,1,0,0,0.0
Oviedo,1,9,9,810,9.0,16,1.78,64,47,75.0,2,0,7,1,11.1,1,0,1,0,100.0
Rayo Vallecano,1,9,9,810,9.0,10,1.11,36,26,77.8,3,2,4,2,22.2,2,2,0,0,0.0
Real Madrid,1,9,9,810,9.0,9,1.0,23,14,69.6,8,0,1,4,44.4,2,2,0,0,0.0
Real Sociedad,1,10,10,900,10.0,14,1.4,34,21,61.8,2,3,5,1,10.0,1,1,0,0,0.0
Sevilla,2,10,10,900,10.0,16,1.6,49,33,73.5,4,1,5,2,20.0,4,3,0,1,0.0
Valencia,1,9,9,810,9.0,14,1.56,42,28,66.7,2,3,4,3,33.3,0,0,0,0,
Villarreal,2,9,9,810,9.0,10,1.11,30,19,73.3,5,2,2,3,33.3,3,2,1,0,33.3
