Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,22,9.0,19,0,0,147,126,21,179,77,96,2,0,0,375,180,170,51.4
Athletic Club,24,9.0,16,2,0,126,113,8,224,66,78,3,0,1,388,115,113,50.4
Atlético Madrid,22,9.0,20,2,1,103,97,17,190,74,75,1,1,0,384,123,124,49.8
Barcelona,25,9.0,12,0,0,82,104,17,142,52,87,2,2,0,356,116,81,58.9
Betis,25,9.0,18,0,0,81,124,12,158,76,87,0,1,1,398,128,112,53.3
Celta Vigo,24,9.0,17,1,1,105,98,14,145,56,91,1,1,1,334,69,72,48.9
Elche,26,9.0,17,1,0,111,148,13,140,77,84,0,1,0,380,82,116,41.4
Espanyol,22,9.0,14,1,0,118,94,13,205,61,87,3,1,0,352,127,168,43.1
Getafe,23,9.0,24,2,1,146,121,23,132,77,114,0,0,1,338,115,170,40.4
Girona,27,9.0,19,5,2,86,110,19,134,72,67,0,2,0,302,92,108,46.0
Levante,24,9.0,19,0,0,122,102,18,114,57,83,0,1,1,307,112,123,47.7
Mallorca,24,9.0,19,3,2,112,112,11,157,58,68,1,3,0,337,127,124,50.6
Osasuna,20,9.0,18,2,1,112,90,10,132,74,82,0,1,0,381,172,109,61.2
Oviedo,26,9.0,22,3,2,100,86,19,124,62,96,1,1,0,313,127,100,55.9
Rayo Vallecano,24,9.0,23,1,0,123,84,20,187,81,85,1,2,0,402,78,116,40.2
Real Madrid,22,9.0,15,1,0,89,133,14,120,59,88,3,2,0,375,110,79,58.2
Real Sociedad,26,10.0,23,0,0,159,101,24,217,67,100,0,1,1,414,143,140,50.5
Sevilla,28,10.0,32,0,0,158,138,32,165,80,118,1,4,0,446,149,118,55.8
Valencia,21,9.0,14,1,0,112,87,10,141,61,70,1,0,0,306,117,128,47.8
Villarreal,25,9.0,19,1,1,105,94,18,148,74,107,0,3,0,369,79,92,46.2
