Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Alavés,22,9.0,3978,3499,461,163,5,44,148,177,32,13,9,0,3072,18,75
vs Athletic Club,24,9.0,4230,3767,424,130,13,32,131,167,37,12,18,0,3338,39,78
vs Atlético Madrid,22,9.0,4312,3910,396,116,11,26,147,145,26,6,8,1,3552,6,66
vs Barcelona,25,9.0,2628,2174,410,95,14,19,104,152,37,14,19,2,1849,44,72
vs Betis,25,9.0,4564,4149,389,90,13,17,178,152,52,20,24,1,3711,26,77
vs Celta Vigo,24,9.0,4554,4149,387,114,18,22,155,135,43,16,11,0,3811,18,77
vs Elche,26,9.0,3665,3267,384,120,13,14,162,154,40,12,19,0,2903,14,55
vs Espanyol,22,9.0,5104,4688,405,125,18,40,168,144,44,20,18,0,4319,11,68
vs Getafe,23,9.0,4778,4238,516,162,27,34,145,240,42,16,16,0,3820,24,96
vs Girona,27,9.0,4982,4609,365,94,19,22,182,151,59,25,15,0,4259,8,68
vs Levante,24,9.0,4952,4488,457,135,10,38,218,177,68,24,20,0,4133,7,89
vs Mallorca,24,9.0,4704,4284,405,117,8,39,174,160,58,23,12,1,3904,15,85
vs Osasuna,20,9.0,4893,4461,412,121,14,27,180,166,44,16,16,0,4041,20,74
vs Oviedo,26,9.0,5270,4839,420,114,10,35,188,189,58,34,9,0,4500,11,68
vs Rayo Vallecano,24,9.0,3925,3457,460,135,13,36,146,179,49,21,18,0,3041,8,93
vs Real Madrid,22,9.0,3370,2994,370,98,11,21,134,123,30,17,8,0,2646,6,66
vs Real Sociedad,26,10.0,4589,4047,530,176,14,43,120,194,47,21,15,1,3644,12,70
vs Sevilla,28,10.0,4050,3499,540,184,4,13,168,212,54,20,21,0,3092,11,87
vs Valencia,21,9.0,4427,3988,408,116,19,31,161,181,46,22,13,0,3600,31,53
vs Villarreal,25,9.0,5146,4733,409,116,16,46,145,149,29,14,5,0,4432,4,80
