Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Alavés,22,9.0,3072,3978,77.2,55739,21148,1406,1639,85.8,1177,1398,84.2,389,697,55.8,4,4.4,5.8,-0.4,59,262,64,20,278
vs Athletic Club,24,9.0,3338,4230,78.9,57687,20055,1554,1730,89.8,1366,1600,85.4,316,641,49.3,7,5.9,5.0,1.1,58,185,41,15,236
vs Atlético Madrid,22,9.0,3552,4312,82.4,62036,21569,1657,1839,90.1,1489,1674,88.9,319,596,53.5,8,7.3,7.7,0.7,60,307,49,18,319
vs Barcelona,25,9.0,1849,2628,70.4,35559,16040,785,910,86.3,749,923,81.1,275,609,45.2,7,8.4,5.4,-1.4,52,134,34,10,163
vs Betis,25,9.0,3711,4564,81.3,61715,23801,1849,2051,90.2,1519,1750,86.8,272,560,48.6,7,7.0,7.3,0.0,75,320,70,20,370
vs Celta Vigo,24,9.0,3811,4554,83.7,66096,23131,1789,1930,92.7,1595,1775,89.9,346,636,54.4,8,8.2,10.3,-0.2,84,361,62,14,313
vs Elche,26,9.0,2903,3665,79.2,50890,19285,1315,1469,89.5,1227,1433,85.6,273,560,48.8,8,6.9,6.1,1.1,74,271,61,20,288
vs Espanyol,22,9.0,4319,5104,84.6,76377,25813,1935,2104,92.0,1903,2123,89.6,406,671,60.5,8,7.8,10.9,0.2,92,328,79,24,398
vs Getafe,23,9.0,3820,4778,79.9,68588,22880,1667,1887,88.3,1730,1972,87.7,351,688,51.0,10,7.7,7.8,2.3,78,316,54,17,330
vs Girona,27,9.0,4259,4982,85.5,73791,23808,1920,2076,92.5,1942,2153,90.2,332,568,58.5,12,12.0,13.1,0.0,119,355,97,33,425
vs Levante,24,9.0,4133,4952,83.5,74187,24196,1766,1939,91.1,1904,2139,89.0,382,662,57.7,13,10.8,11.9,2.2,118,383,90,25,403
vs Mallorca,24,9.0,3904,4704,83.0,70317,23720,1684,1851,91.0,1731,1959,88.4,407,678,60.0,10,11.3,10.9,-1.3,97,381,85,19,409
vs Osasuna,20,9.0,4041,4893,82.6,70795,24221,1838,2008,91.5,1745,1986,87.9,368,688,53.5,6,9.6,10.6,-3.6,97,355,70,22,414
vs Oviedo,26,9.0,4500,5270,85.4,73050,23772,2299,2473,93.0,1768,1997,88.5,321,560,57.3,11,10.9,13.9,0.1,124,384,110,22,467
vs Rayo Vallecano,24,9.0,3041,3925,77.5,53813,20845,1347,1531,88.0,1259,1485,84.8,324,648,50.0,6,8.2,7.2,-2.2,72,225,66,16,315
vs Real Madrid,22,9.0,2646,3370,78.5,47980,18308,1216,1353,89.9,1100,1270,86.6,289,605,47.8,5,6.8,7.1,-1.8,66,218,43,19,233
vs Real Sociedad,26,10.0,3644,4589,79.4,65609,22203,1580,1769,89.3,1556,1827,85.2,400,765,52.3,11,11.1,9.3,-0.1,93,238,64,11,307
vs Sevilla,28,10.0,3092,4050,76.3,54808,21771,1301,1492,87.2,1399,1645,85.0,294,659,44.6,9,9.8,7.6,-0.8,82,243,66,18,318
vs Valencia,21,9.0,3600,4427,81.3,65881,23034,1537,1708,90.0,1653,1884,87.7,358,655,54.7,10,9.7,9.4,0.3,89,332,69,15,360
vs Villarreal,25,9.0,4432,5146,86.1,77247,25461,1964,2132,92.1,1976,2165,91.3,385,613,62.8,7,7.8,9.1,-0.8,77,340,77,19,439
