Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Alavés,22,27.9,9,810,90,100,9.0,99,81,57,42,18,59,1.33,8,9,-1,-0.11,7.2,8.6,-1.5,-0.16
vs Athletic Club,24,27.5,9,810,90,100,9.0,99,80,57,42,19,56,1.22,9,9,0,0.0,7.3,12.0,-4.7,-0.52
vs Atlético Madrid,22,27.6,9,810,90,100,9.0,99,80,54,46,22,56,0.78,10,16,-6,-0.67,9.7,15.8,-6.1,-0.68
vs Barcelona,25,28.4,9,810,90,100,9.0,99,80,52,45,23,56,0.44,10,24,-14,-1.56,10.8,19.6,-8.8,-0.97
vs Betis,25,27.1,9,810,90,100,9.0,99,83,54,45,22,54,0.78,10,15,-5,-0.56,8.9,12.3,-3.4,-0.38
vs Celta Vigo,24,28.0,9,810,90,100,9.0,99,78,58,41,19,54,1.44,11,8,3,0.33,10.6,10.3,0.3,0.04
vs Elche,26,27.8,9,810,90,100,9.0,99,82,57,42,23,63,0.89,9,11,-2,-0.22,9.9,10.6,-0.7,-0.07
vs Espanyol,22,27.5,9,810,90,100,9.0,99,81,56,43,21,55,1.0,11,13,-2,-0.22,10.9,17.1,-6.2,-0.69
vs Getafe,23,27.2,9,810,90,100,9.0,99,82,58,42,23,58,1.56,12,9,3,0.33,9.1,6.1,3.0,0.33
vs Girona,27,26.7,9,810,90,100,9.0,99,77,55,44,26,61,2.0,19,6,13,1.44,17.6,8.4,9.2,1.02
vs Levante,24,27.1,9,810,90,100,9.0,99,82,53,44,22,57,1.89,17,13,4,0.44,14.1,12.7,1.3,0.15
vs Mallorca,24,26.7,9,810,90,100,9.0,99,79,53,45,21,61,1.89,14,10,4,0.44,16.0,8.1,7.9,0.87
vs Osasuna,20,27.6,9,810,90,100,9.0,99,82,56,42,26,60,1.78,9,7,2,0.22,11.7,9.0,2.7,0.3
vs Oviedo,26,26.9,9,810,90,100,9.0,99,78,52,47,18,55,2.33,16,4,12,1.33,17.3,7.1,10.2,1.14
vs Rayo Vallecano,24,27.2,9,810,90,100,9.0,99,81,57,41,21,62,1.56,10,11,-1,-0.11,12.1,13.5,-1.4,-0.15
vs Real Madrid,22,27.9,9,810,90,100,9.0,99,82,55,41,17,59,0.33,9,20,-11,-1.22,10.1,19.9,-9.8,-1.09
vs Real Sociedad,26,27.8,10,900,90,100,10.0,110,80,58,50,23,67,1.8,14,10,4,0.4,13.8,13.3,0.5,0.05
vs Sevilla,28,27.6,10,900,90,100,10.0,110,80,65,45,20,64,1.6,16,17,-1,-0.1,16.6,9.5,7.2,0.72
vs Valencia,21,27.5,9,810,90,100,9.0,99,79,59,38,21,61,1.67,14,10,4,0.44,11.7,9.4,2.4,0.26
vs Villarreal,25,27.3,9,810,90,100,9.0,99,79,57,42,23,59,0.89,10,16,-6,-0.67,11.7,13.9,-2.2,-0.25
