Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Alavés,22,48.0,9.0,5061,551,1713,2239,1155,157,5061,153,74,48.4,67,43.8,2548,12555,6273,108,102,21,143,98,3045,278
vs Athletic Club,24,49.2,9.0,5339,692,2223,2213,967,140,5339,168,73,43.5,65,38.7,2748,14446,7336,147,118,32,155,60,3313,235
vs Atlético Madrid,22,45.2,9.0,5292,609,1628,2439,1266,139,5291,161,65,40.4,72,44.7,3018,13921,7119,119,115,22,140,55,3535,317
vs Barcelona,25,30.3,9.0,3643,769,1720,1274,684,135,3641,114,43,37.7,61,53.5,1565,8328,4051,92,49,32,110,81,1842,162
vs Betis,25,48.8,9.0,5587,553,1771,2611,1257,178,5586,169,80,47.3,71,42.0,3169,16034,8334,179,109,41,140,82,3683,367
vs Celta Vigo,24,47.6,9.0,5531,609,1849,2341,1391,191,5530,158,57,36.1,76,48.1,3223,15344,7597,154,111,33,134,78,3781,310
vs Elche,26,41.6,9.0,4667,468,1376,2122,1215,179,4666,135,48,35.6,74,54.8,2310,12911,6349,136,96,42,139,75,2868,285
vs Espanyol,22,58.1,9.0,6133,563,1867,2946,1376,212,6132,155,73,47.1,67,43.2,3703,18697,9830,181,136,48,163,64,4282,393
vs Getafe,23,61.3,9.0,5822,440,1724,2804,1338,163,5822,174,69,39.7,95,54.6,3154,15750,8164,142,106,35,134,75,3784,328
vs Girona,27,55.7,9.0,5961,469,1601,2713,1711,263,5959,128,66,51.6,50,39.1,3492,18074,9787,182,146,57,132,65,4225,421
vs Levante,24,58.8,9.0,6027,454,1679,2856,1541,244,6026,168,69,41.1,83,49.4,3386,18436,9518,188,115,48,116,72,4090,400
vs Mallorca,24,56.6,9.0,5668,428,1380,2662,1666,239,5665,150,58,38.7,74,49.3,3161,15935,8464,173,111,60,123,64,3879,406
vs Osasuna,20,55.8,9.0,5915,550,1666,2609,1681,198,5914,147,57,38.8,73,49.7,3281,16491,8505,177,143,45,142,64,4015,410
vs Oviedo,26,57.1,9.0,6273,427,1375,2951,2000,269,6272,171,59,34.5,83,48.5,3917,20052,10425,207,149,60,129,64,4469,464
vs Rayo Vallecano,24,46.9,9.0,4944,567,1707,2088,1204,201,4942,171,79,46.2,78,45.6,2628,14550,7526,142,116,44,145,81,3019,314
vs Real Madrid,22,36.6,9.0,4338,618,1732,1778,890,136,4336,126,46,36.5,72,57.1,2338,11986,6064,134,88,31,128,83,2626,228
vs Real Sociedad,26,48.4,10.0,5821,754,2129,2514,1237,190,5820,201,94,46.8,86,42.8,3171,15714,7851,137,115,40,158,81,3621,305
vs Sevilla,28,47.1,10.0,5207,573,1709,2342,1219,214,5203,200,81,40.5,98,49.0,2534,14485,7644,141,93,44,178,87,3044,315
vs Valencia,21,53.3,9.0,5412,453,1443,2624,1386,225,5412,124,49,39.5,66,53.2,2901,14135,7229,149,101,45,155,72,3566,356
vs Villarreal,25,54.2,9.0,6150,601,1804,2858,1526,212,6147,196,67,34.2,108,55.1,3624,16718,8962,158,110,38,119,61,4407,435
