Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Alavés,22,52.0,9.0,5349,412,1435,2643,1320,170,5346,164,62,37.8,83,50.6,2750,13059,6401,117,99,25,148,85,3291,293
Athletic Club,24,50.8,9.0,5398,420,1381,2566,1503,213,5395,174,70,40.2,80,46.0,2668,14859,8200,163,130,33,173,82,3451,395
Atlético Madrid,22,54.8,9.0,6086,531,1697,2757,1689,244,6084,159,62,39.0,77,48.4,3594,18464,9775,189,151,47,119,59,4352,423
Barcelona,25,69.7,9.0,7232,421,1492,3437,2362,333,7230,221,98,44.3,101,45.7,4405,23250,12259,241,184,89,126,75,5443,526
Betis,25,51.2,9.0,5843,565,1878,2604,1411,218,5843,151,61,40.4,61,40.4,3401,16564,8405,158,123,40,139,82,3919,352
Celta Vigo,24,52.4,9.0,6034,579,1724,2852,1491,194,6033,144,50,34.7,79,54.9,3326,16329,8858,162,108,44,110,59,4307,429
Elche,26,58.4,9.0,6158,546,2024,2846,1342,169,6157,160,72,45.0,73,45.6,3490,17585,8924,154,113,40,148,93,4360,315
Espanyol,22,41.9,9.0,4648,561,1540,2016,1149,169,4645,126,57,45.2,60,47.6,2463,12573,6673,154,95,24,138,79,2818,301
Getafe,23,38.7,9.0,4017,440,1336,1814,911,115,4017,136,56,41.2,68,50.0,1559,8119,3566,72,57,17,154,83,1969,194
Girona,27,44.3,9.0,4858,689,1908,2014,978,159,4858,171,75,43.9,84,49.1,2960,16316,8353,153,96,35,120,80,3114,292
Levante,24,41.2,9.0,4464,588,1564,1937,1000,168,4463,130,52,40.0,67,51.5,2374,10770,5057,88,73,25,133,88,2592,246
Mallorca,24,43.4,9.0,4634,659,1748,1955,985,124,4633,125,62,49.6,54,43.2,2433,12391,5980,103,97,17,136,69,2794,269
Osasuna,20,44.2,9.0,4857,575,1719,2228,970,159,4856,131,57,43.5,64,48.9,2565,12877,6050,106,112,34,131,68,2944,241
Oviedo,26,42.9,9.0,4886,733,2030,2034,854,141,4885,154,65,42.2,79,51.3,2690,14618,7175,135,78,34,135,57,3056,252
Rayo Vallecano,24,53.1,9.0,5505,668,1947,2406,1205,159,5504,122,53,43.4,59,48.4,2850,13836,7080,143,96,27,158,62,3554,323
Real Madrid,22,63.4,9.0,6992,437,1431,3365,2247,310,6989,245,93,38.0,112,45.7,4335,22115,11609,230,147,97,114,57,5222,508
Real Sociedad,26,51.6,10.0,5991,542,1691,2865,1491,239,5989,186,79,42.5,87,46.8,3343,16833,9325,181,132,50,162,63,3836,408
Sevilla,28,52.9,10.0,5798,626,2022,2498,1327,226,5797,171,66,38.6,87,50.9,3076,15657,8335,166,98,44,177,90,3620,325
Valencia,21,46.7,9.0,4816,623,1847,2028,988,137,4815,133,51,38.3,67,50.4,2525,13234,6593,128,97,32,125,56,2969,276
Villarreal,25,45.8,9.0,5225,533,1682,2119,1487,238,5225,166,66,39.8,77,46.4,3064,15113,8410,203,143,64,137,75,3483,361
