Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Alavés,22,9.0,8,89,28,31.5,9.89,3.11,0.09,0.29,18.4,4,0,0,7.2,7.2,0.08,0.8,0.8
vs Athletic Club,24,9.0,8,85,31,36.5,9.44,3.44,0.09,0.26,17.7,0,0,0,7.3,7.3,0.09,0.7,0.7
vs Atlético Madrid,22,9.0,10,77,23,29.9,8.56,2.56,0.12,0.39,18.4,2,1,1,9.7,8.9,0.12,0.3,0.1
vs Barcelona,25,9.0,10,65,27,41.5,7.22,3.0,0.12,0.3,15.8,1,2,2,10.8,9.5,0.15,-0.8,-1.5
vs Betis,25,9.0,9,94,33,35.1,10.44,3.67,0.1,0.27,17.1,1,0,1,8.9,8.2,0.09,0.1,0.8
vs Celta Vigo,24,9.0,10,104,39,37.5,11.56,4.33,0.1,0.26,17.3,2,0,1,10.6,9.8,0.1,-0.6,0.2
vs Elche,26,9.0,9,100,27,27.0,11.11,3.0,0.08,0.3,19.1,4,1,1,9.9,9.3,0.09,-0.9,-1.3
vs Espanyol,22,9.0,11,121,40,33.1,13.44,4.44,0.08,0.25,18.0,4,1,1,10.9,10.1,0.09,0.1,-0.1
vs Getafe,23,9.0,11,102,38,37.3,11.33,4.22,0.11,0.29,18.9,5,0,0,9.1,9.1,0.09,1.9,1.9
vs Girona,27,9.0,19,164,51,31.1,18.22,5.67,0.1,0.33,17.4,7,2,2,17.6,16.0,0.1,1.4,1.0
vs Levante,24,9.0,16,149,48,32.2,16.56,5.33,0.1,0.31,17.0,2,1,1,14.1,13.3,0.09,1.9,1.7
vs Mallorca,24,9.0,14,127,39,30.7,14.11,4.33,0.09,0.31,18.4,2,2,3,16.0,13.7,0.11,-2.0,-1.7
vs Osasuna,20,9.0,9,124,44,35.5,13.78,4.89,0.06,0.18,18.8,1,1,1,11.7,10.9,0.09,-2.7,-2.9
vs Oviedo,26,9.0,16,164,63,38.4,18.22,7.0,0.1,0.25,17.5,3,0,1,17.3,16.6,0.1,-1.3,-0.6
vs Rayo Vallecano,24,9.0,10,97,34,35.1,10.78,3.78,0.08,0.24,17.5,3,2,2,12.1,10.6,0.11,-2.1,-2.6
vs Real Madrid,22,9.0,9,86,21,24.4,9.56,2.33,0.08,0.33,17.7,2,2,2,10.1,8.6,0.1,-1.1,-1.6
vs Real Sociedad,26,10.0,13,122,33,27.0,12.2,3.3,0.1,0.36,18.0,3,1,1,13.8,13.0,0.11,-0.8,-1.0
vs Sevilla,28,10.0,16,111,46,41.4,11.1,4.6,0.12,0.28,17.4,2,3,4,16.6,13.5,0.12,-0.6,-0.5
vs Valencia,21,9.0,14,123,42,34.1,13.67,4.67,0.11,0.33,17.8,5,0,0,11.7,11.7,0.1,2.3,2.3
vs Villarreal,25,9.0,10,105,27,25.7,11.67,3.0,0.08,0.3,18.0,4,2,3,11.7,9.3,0.09,-1.7,-1.3
