Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Alavés,22,27.9,48.0,9,99,810,9.0,8,4,12,8,0,0,24,1,7.2,7.2,4.4,11.6,108,278,0.89,0.44,1.33,0.89,1.33,0.8,0.49,1.29,0.8,1.29
vs Athletic Club,24,27.5,49.2,9,99,810,9.0,8,7,15,8,0,0,23,1,7.3,7.3,5.9,13.2,147,236,0.89,0.78,1.67,0.89,1.67,0.81,0.65,1.47,0.81,1.47
vs Atlético Madrid,22,27.6,45.2,9,99,810,9.0,10,8,18,9,1,1,25,0,9.7,8.9,7.3,16.2,119,319,1.11,0.89,2.0,1.0,1.89,1.08,0.81,1.88,0.99,1.8
vs Barcelona,25,28.4,30.3,9,99,810,9.0,10,7,17,8,2,2,28,2,10.8,9.5,8.4,17.9,92,163,1.11,0.78,1.89,0.89,1.67,1.2,0.94,2.14,1.05,1.99
vs Betis,25,27.1,48.8,9,99,810,9.0,9,7,16,9,0,1,23,1,8.9,8.2,7.0,15.1,179,370,1.0,0.78,1.78,1.0,1.78,0.99,0.77,1.77,0.91,1.68
vs Celta Vigo,24,28.0,47.6,9,99,810,9.0,10,8,18,10,0,1,22,1,10.6,9.8,8.2,18.1,154,313,1.11,0.89,2.0,1.11,2.0,1.18,0.92,2.1,1.09,2.01
vs Elche,26,27.8,41.6,9,99,810,9.0,9,8,17,8,1,1,20,0,9.9,9.3,6.9,16.2,136,288,1.0,0.89,1.89,0.89,1.78,1.1,0.76,1.87,1.04,1.8
vs Espanyol,22,27.5,58.1,9,99,810,9.0,11,8,19,10,1,1,23,0,10.9,10.1,7.8,17.9,181,398,1.22,0.89,2.11,1.11,2.0,1.21,0.87,2.08,1.12,1.99
vs Getafe,23,27.2,61.3,9,99,810,9.0,11,10,21,11,0,0,22,1,9.1,9.1,7.7,16.8,142,330,1.22,1.11,2.33,1.22,2.33,1.01,0.85,1.86,1.01,1.86
vs Girona,27,26.7,55.7,9,99,810,9.0,19,12,31,17,2,2,9,0,17.6,16.0,12.0,28.0,182,425,2.11,1.33,3.44,1.89,3.22,1.95,1.33,3.28,1.78,3.11
vs Levante,24,27.1,58.8,9,99,810,9.0,16,13,29,15,1,1,16,2,14.1,13.3,10.8,24.0,188,403,1.78,1.44,3.22,1.67,3.11,1.56,1.2,2.76,1.47,2.67
vs Mallorca,24,26.7,56.6,9,99,810,9.0,14,10,24,12,2,3,19,2,16.0,13.7,11.3,25.0,173,409,1.56,1.11,2.67,1.33,2.44,1.78,1.25,3.03,1.52,2.77
vs Osasuna,20,27.6,55.8,9,99,810,9.0,9,6,15,8,1,1,15,1,11.7,10.9,9.6,20.5,177,414,1.0,0.67,1.67,0.89,1.56,1.3,1.07,2.37,1.21,2.28
vs Oviedo,26,26.9,57.1,9,99,810,9.0,16,11,27,16,0,1,11,0,17.3,16.6,10.9,27.5,207,467,1.78,1.22,3.0,1.78,3.0,1.93,1.21,3.14,1.84,3.05
vs Rayo Vallecano,24,27.2,46.9,9,99,810,9.0,10,6,16,8,2,2,11,1,12.1,10.6,8.2,18.8,142,315,1.11,0.67,1.78,0.89,1.56,1.35,0.92,2.26,1.17,2.09
vs Real Madrid,22,27.9,36.6,9,99,810,9.0,9,5,14,7,2,2,18,4,10.1,8.6,6.8,15.4,134,233,1.0,0.56,1.56,0.78,1.33,1.13,0.75,1.88,0.96,1.71
vs Real Sociedad,26,27.8,48.4,10,110,900,10.0,13,11,24,12,1,1,21,2,13.8,13.0,11.1,24.1,137,307,1.3,1.1,2.4,1.2,2.3,1.38,1.11,2.49,1.3,2.41
vs Sevilla,28,27.6,47.1,10,110,900,10.0,16,9,25,13,3,4,19,1,16.6,13.5,9.8,23.4,141,318,1.6,0.9,2.5,1.3,2.2,1.66,0.98,2.65,1.35,2.34
vs Valencia,21,27.5,53.3,9,99,810,9.0,14,10,24,14,0,0,16,4,11.7,11.7,9.7,21.5,149,360,1.56,1.11,2.67,1.56,2.67,1.31,1.08,2.39,1.31,2.39
vs Villarreal,25,27.3,54.2,9,99,810,9.0,10,7,17,8,2,3,15,2,11.7,9.3,7.8,17.2,158,439,1.11,0.78,1.89,0.89,1.67,1.3,0.87,2.17,1.04,1.91
