Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Angers,1,8.0,4,1,0,0,0,5.9,0.25,1.9,0.24,19,57,33.3,290,30,14.1,25.4,54,29.6,30.5,104,10,9.6,15,1.88,14.4
vs Auxerre,2,8.0,7,1,0,1,1,7.2,0.26,1.2,0.16,16,61,26.2,196,29,25.5,30.4,43,25.6,26.3,91,8,8.8,11,1.38,15.1
vs Brest,2,8.0,14,3,0,0,1,13.1,0.33,0.1,0.02,23,65,35.4,189,29,25.4,30.2,64,26.6,28.2,109,5,4.6,9,1.13,13.7
vs Le Havre,1,8.0,10,1,0,2,0,10.5,0.36,0.5,0.06,19,64,29.7,211,32,22.3,29.2,64,26.6,24.7,149,9,6.0,6,0.75,12.9
vs Lens,1,8.0,12,2,0,5,0,15.1,0.39,3.1,0.38,44,112,39.3,228,33,36.0,35.3,65,46.2,39.5,126,8,6.3,16,2.01,16.6
vs Lille,2,8.0,16,1,0,1,0,13.1,0.34,-2.9,-0.37,37,109,33.9,222,28,39.2,36.6,60,36.7,32.3,125,4,3.2,7,0.88,14.2
vs Lorient,2,8.0,12,0,0,1,0,11.2,0.29,-0.8,-0.1,31,81,38.3,207,27,35.3,34.7,46,17.4,25.0,102,6,5.9,3,0.38,13.4
vs Lyon,2,8.0,11,0,0,3,0,16.0,0.43,5.0,0.63,41,110,37.3,216,21,42.1,37.7,56,33.9,29.2,145,8,5.5,5,0.63,10.2
vs Marseille,2,8.0,21,3,0,3,1,14.1,0.24,-5.9,-0.73,26,84,31.0,221,31,33.0,34.7,52,21.2,22.8,111,7,6.3,6,0.75,12.5
vs Metz,1,8.0,5,1,0,2,0,8.2,0.44,3.2,0.4,16,44,36.4,195,33,20.0,26.8,37,13.5,23.0,89,7,7.9,11,1.38,14.3
vs Monaco,2,8.0,17,3,0,1,2,14.0,0.4,-1.0,-0.13,36,104,34.6,225,24,29.8,32.6,71,52.1,37.4,111,6,5.4,9,1.13,13.3
vs Nantes,1,9.0,7,0,0,2,0,4.8,0.21,-2.2,-0.25,37,112,33.0,272,37,34.9,33.9,59,28.8,28.2,90,6,6.7,16,1.78,17.4
vs Nice,1,8.0,12,1,0,1,1,9.4,0.26,-1.6,-0.2,47,145,32.4,252,29,47.6,38.7,68,36.8,31.3,121,11,9.1,13,1.63,15.0
vs Paris FC,2,9.0,14,2,0,1,0,14.3,0.32,0.3,0.04,38,101,37.6,252,40,31.0,34.7,72,31.9,26.7,129,13,10.1,14,1.56,13.0
vs Paris S-G,1,8.0,16,3,1,4,0,15.4,0.27,-0.6,-0.07,60,123,48.8,188,22,53.7,42.3,79,27.8,25.5,79,7,8.9,2,0.25,9.0
vs Rennes,1,8.0,11,1,0,2,1,9.5,0.28,-0.5,-0.06,29,77,37.7,177,37,29.9,33.2,63,38.1,38.5,102,10,9.8,12,1.5,14.4
vs Strasbourg,2,8.0,17,2,0,1,0,16.4,0.38,-0.6,-0.07,26,73,35.6,279,33,22.2,29.4,47,23.4,25.5,99,9,9.1,10,1.25,15.1
vs Toulouse,1,8.0,15,2,0,3,1,13.3,0.28,-0.7,-0.09,20,68,29.4,269,30,19.7,28.0,48,31.3,31.5,89,6,6.7,8,1.0,14.1
