Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Angers,1,8.0,12,1,0,3,0,16.2,0.32,4.2,0.52,30,92,32.6,184,41,40.8,34.9,68,25.0,26.8,120,13,10.8,5,0.63,9.7
Auxerre,2,8.0,12,0,0,4,1,11.7,0.31,0.7,0.09,48,172,27.9,223,21,60.1,43.5,53,71.7,53.8,96,5,5.2,15,1.88,18.6
Brest,2,8.0,14,1,0,2,0,13.1,0.36,-0.9,-0.11,60,150,40.0,212,32,50.9,39.1,61,68.9,52.6,130,9,6.9,3,0.38,10.2
Le Havre,1,8.0,16,3,0,2,1,11.4,0.27,-3.6,-0.45,38,104,36.5,251,41,30.7,31.0,59,45.8,37.2,119,16,13.4,12,1.5,13.4
Lens,1,8.0,7,0,0,2,0,8.3,0.32,1.3,0.16,32,87,36.8,193,25,31.6,33.5,61,42.6,35.4,105,5,4.8,6,0.75,15.0
Lille,2,8.0,10,0,1,1,0,13.3,0.47,3.3,0.41,39,95,41.1,246,20,30.9,30.6,57,33.3,31.2,89,4,4.5,9,1.13,15.0
Lorient,2,8.0,19,3,0,3,1,12.3,0.31,-5.7,-0.71,31,75,41.3,192,23,33.3,31.2,51,21.6,22.1,104,9,8.7,9,1.13,13.3
Lyon,2,8.0,8,0,0,2,2,8.8,0.37,2.8,0.35,20,62,32.3,228,28,22.8,26.0,56,17.9,22.2,103,6,5.8,10,1.25,16.4
Marseille,2,8.0,7,0,0,0,0,7.9,0.32,0.9,0.11,27,66,40.9,194,19,26.8,31.6,43,32.6,31.7,81,13,16.0,18,2.25,16.6
Metz,1,8.0,20,3,0,1,1,20.1,0.37,1.1,0.13,23,58,39.7,280,33,15.7,25.4,67,20.9,21.1,108,4,3.7,10,1.25,13.7
Monaco,2,8.0,13,3,0,0,1,9.7,0.27,-2.3,-0.29,19,53,35.8,192,34,23.4,30.6,54,14.8,20.3,108,8,7.4,14,1.75,18.9
Nantes,1,9.0,10,2,0,2,0,11.2,0.22,1.2,0.13,47,119,39.5,299,43,35.1,32.5,83,16.9,22.6,166,8,4.8,13,1.44,13.3
Nice,1,8.0,14,3,0,2,0,14.6,0.28,0.6,0.08,21,73,28.8,190,37,27.9,28.6,57,35.1,27.9,129,10,7.8,8,1.0,12.4
Paris FC,2,9.0,17,2,0,5,0,12.5,0.29,-4.5,-0.5,26,93,28.0,310,41,25.2,29.0,68,22.1,27.4,121,3,2.5,12,1.33,14.0
Paris S-G,1,8.0,8,0,0,1,1,6.3,0.26,-0.7,-0.09,10,24,41.7,177,26,7.3,23.5,37,29.7,26.5,62,2,3.2,5,0.63,14.7
Rennes,1,8.0,12,2,0,1,0,13.8,0.35,1.8,0.22,31,103,30.1,289,38,31.1,32.3,65,20.0,25.4,118,7,5.9,9,1.13,17.2
Strasbourg,2,8.0,10,1,0,0,0,9.6,0.29,-0.4,-0.05,23,66,34.8,277,23,19.9,29.6,53,20.8,21.4,111,10,9.0,8,1.0,18.9
Toulouse,1,8.0,12,3,0,2,0,10.9,0.34,-1.1,-0.14,40,98,40.8,152,20,51.3,36.9,55,36.4,30.2,101,8,7.9,7,0.88,12.7
