Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Angers,23,8.0,142,80,52,66,24,73,109,67.0,36,71,23,48,62,204,138,6
vs Auxerre,22,8.0,144,82,70,54,20,63,121,52.1,58,87,30,57,67,211,213,5
vs Brest,26,8.0,115,74,55,43,17,52,91,57.1,39,88,37,51,64,179,221,2
vs Le Havre,22,8.0,118,71,56,44,18,49,93,52.7,44,73,21,52,58,176,207,8
vs Lens,22,8.0,125,69,55,50,20,60,121,49.6,61,94,27,67,58,183,171,7
vs Lille,27,8.0,120,63,66,35,19,64,120,53.3,56,133,46,87,87,207,231,8
vs Lorient,22,8.0,134,72,55,57,22,62,127,48.8,65,88,23,65,55,189,158,7
vs Lyon,22,8.0,97,60,44,43,10,49,102,48.0,53,101,35,66,66,163,189,2
vs Marseille,28,8.0,86,57,51,29,6,51,91,56.0,40,73,26,47,53,139,206,8
vs Metz,24,8.0,134,76,48,60,26,59,112,52.7,53,74,19,55,54,188,175,4
vs Monaco,26,8.0,147,89,80,54,13,77,121,63.6,44,90,23,67,86,233,219,11
vs Nantes,22,9.0,140,86,50,60,30,68,140,48.6,72,92,30,62,60,200,193,3
vs Nice,26,8.0,129,74,59,46,24,62,119,52.1,57,80,26,54,49,178,201,2
vs Paris FC,24,9.0,141,94,64,52,25,66,114,57.9,48,80,26,54,54,195,233,11
vs Paris S-G,22,8.0,182,101,116,47,19,112,184,60.9,72,98,31,67,87,269,164,4
vs Rennes,25,8.0,130,75,59,40,31,62,122,50.8,60,93,33,60,75,205,169,6
vs Strasbourg,25,8.0,168,108,85,63,20,92,160,57.5,68,76,21,55,61,229,161,6
vs Toulouse,22,8.0,147,87,78,51,18,75,147,51.0,72,77,26,51,54,201,165,5
