Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Angers,23,8.0,199,24.87,139,14,11,17,11,7,18,2.25,12,0,0,5,0,1
vs Auxerre,22,8.0,176,22.0,121,24,8,15,6,2,21,2.62,16,2,0,3,0,0
vs Brest,26,8.0,180,22.5,129,22,9,15,5,0,23,2.87,15,2,2,3,1,0
vs Le Havre,22,8.0,139,17.37,108,13,5,5,8,0,26,3.25,22,1,2,0,1,0
vs Lens,22,8.0,187,23.37,136,14,11,14,11,1,12,1.5,7,1,1,2,0,1
vs Lille,27,8.0,137,17.12,96,10,4,12,10,5,14,1.75,8,0,0,5,1,0
vs Lorient,22,8.0,151,18.87,116,10,6,10,8,1,31,3.87,23,1,2,3,2,0
vs Lyon,22,8.0,175,21.87,126,12,14,12,5,6,10,1.25,6,2,0,2,0,0
vs Marseille,28,8.0,134,16.75,98,9,10,8,7,2,13,1.62,12,0,0,1,0,0
vs Metz,24,8.0,213,26.62,154,12,16,13,14,4,35,4.37,25,2,4,1,3,0
vs Monaco,26,8.0,176,22.0,129,14,9,14,9,1,22,2.75,15,1,3,0,3,0
vs Nantes,22,9.0,264,29.33,197,23,11,22,6,5,17,1.89,10,1,3,2,1,0
vs Nice,26,8.0,199,24.87,145,19,8,15,6,6,22,2.75,13,3,3,2,1,0
vs Paris FC,24,9.0,180,20.0,115,21,7,18,14,5,30,3.33,21,3,0,3,2,1
vs Paris S-G,22,8.0,133,16.62,99,11,7,9,5,2,12,1.5,10,0,1,1,0,0
vs Rennes,25,8.0,192,24.0,141,16,11,12,8,4,21,2.62,13,1,2,2,2,1
vs Strasbourg,25,8.0,160,20.0,117,15,7,14,6,1,14,1.75,8,0,1,4,1,0
vs Toulouse,22,8.0,170,21.25,126,17,5,16,4,2,21,2.62,13,2,1,3,2,0
