Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Angers,1,8,8,720,8.0,4,0.5,21,17,85.7,4,3,1,4,50.0,1,1,0,0,0.0
vs Auxerre,2,8,8,720,8.0,7,0.87,26,20,76.9,5,1,2,2,25.0,2,1,0,1,0.0
vs Brest,2,8,8,720,8.0,14,1.75,33,20,66.7,3,3,2,2,25.0,3,3,0,0,0.0
vs Le Havre,1,8,8,720,8.0,10,1.25,27,17,66.7,4,3,1,2,25.0,2,1,0,1,0.0
vs Lens,1,8,8,716,8.0,12,1.51,35,22,71.4,2,1,5,3,37.5,3,2,1,0,33.3
vs Lille,2,8,8,720,8.0,16,2.0,37,21,59.5,2,2,4,2,25.0,2,1,0,1,0.0
vs Lorient,2,8,8,720,8.0,12,1.5,35,22,65.7,4,2,2,3,37.5,1,0,1,0,100.0
vs Lyon,2,8,8,720,8.0,11,1.37,38,26,71.1,3,0,5,0,0.0,1,0,1,0,100.0
vs Marseille,2,8,8,720,8.0,21,2.62,49,29,63.3,2,0,6,2,25.0,4,3,0,1,0.0
vs Metz,1,8,8,720,8.0,5,0.62,15,9,73.3,6,2,0,5,62.5,2,1,1,0,50.0
vs Monaco,2,8,8,720,8.0,17,2.12,29,14,51.7,2,2,4,1,12.5,3,3,0,0,0.0
vs Nantes,1,9,9,810,9.0,7,0.78,19,11,63.2,4,3,2,5,55.6,1,0,1,0,100.0
vs Nice,1,8,8,720,8.0,12,1.5,34,23,67.6,3,2,3,1,12.5,1,1,0,0,0.0
vs Paris FC,2,9,9,810,9.0,14,1.56,41,27,70.7,5,1,3,1,11.1,2,2,0,0,0.0
vs Paris S-G,1,8,8,720,8.0,16,2.0,49,33,73.5,1,2,5,1,12.5,4,3,0,1,0.0
vs Rennes,1,8,8,720,8.0,11,1.37,33,23,69.7,1,5,2,2,25.0,1,1,0,0,0.0
vs Strasbourg,2,8,8,720,8.0,17,2.12,40,23,62.5,2,1,5,0,0.0,2,2,0,0,0.0
vs Toulouse,1,8,8,720,8.0,15,1.87,35,19,62.9,3,1,4,1,12.5,4,2,2,0,50.0
