Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Angers,1,8,8,720,8.0,12,1.5,47,34,76.6,1,3,4,1,12.5,3,1,1,1,50.0
Auxerre,2,8,8,720,8.0,12,1.5,37,25,67.6,2,1,5,2,25.0,1,0,1,0,100.0
Brest,2,8,8,716,8.0,14,1.76,36,22,63.9,2,3,3,2,25.0,1,1,0,0,0.0
Le Havre,1,8,8,720,8.0,16,2.0,33,18,60.6,1,3,4,1,12.5,3,3,0,0,0.0
Lens,1,8,8,720,8.0,7,0.87,27,20,74.1,5,1,2,2,25.0,0,0,0,0,
Lille,2,8,8,720,8.0,10,1.25,27,16,63.0,4,2,2,2,25.0,1,0,1,0,100.0
Lorient,2,8,8,720,8.0,19,2.37,32,14,50.0,2,2,4,1,12.5,5,3,0,2,0.0
Lyon,2,8,8,720,8.0,8,1.0,24,18,66.7,5,0,3,5,62.5,0,0,0,0,
Marseille,2,8,8,720,8.0,7,0.87,25,18,72.0,6,0,2,3,37.5,0,0,0,0,
Metz,1,8,8,720,8.0,20,2.5,48,29,64.6,0,2,6,1,12.5,3,3,0,0,0.0
Monaco,2,8,8,720,8.0,13,1.62,27,15,63.0,4,2,2,0,0.0,4,3,0,1,0.0
Nantes,1,9,9,810,9.0,10,1.11,44,34,81.8,2,3,4,2,22.2,2,2,0,0,0.0
Nice,1,8,8,720,8.0,14,1.75,42,27,73.8,3,2,3,1,12.5,4,3,1,0,25.0
Paris FC,2,9,9,810,9.0,17,1.89,35,17,57.1,3,1,5,1,11.1,4,2,1,1,33.3
Paris S-G,1,8,8,720,8.0,8,1.0,22,14,63.6,5,2,1,4,50.0,1,0,1,0,100.0
Rennes,1,8,8,720,8.0,12,1.5,33,20,69.7,2,5,1,2,25.0,3,2,1,0,33.3
Strasbourg,2,8,8,720,8.0,10,1.25,32,22,71.9,5,1,2,4,50.0,1,1,0,0,0.0
Toulouse,1,8,8,720,8.0,12,1.5,25,13,64.0,4,1,3,3,37.5,3,3,0,0,0.0
