Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Angers,23,8.0,10,0,0,89,76,9,149,62,80,2,1,0,351,84,74,53.2
vs Auxerre,22,8.0,26,1,1,125,96,10,113,67,82,0,2,1,343,129,111,53.8
vs Brest,26,8.0,13,1,0,93,93,18,165,64,74,1,3,1,351,129,139,48.1
vs Le Havre,22,8.0,19,1,1,102,113,12,148,58,71,1,2,0,318,104,102,50.5
vs Lens,22,8.0,21,3,0,104,97,7,137,58,69,0,3,0,327,112,108,50.9
vs Lille,27,8.0,18,1,0,114,99,11,117,87,63,1,2,0,333,76,113,40.2
vs Lorient,22,8.0,17,3,1,127,91,9,137,55,72,3,1,0,278,121,95,56.0
vs Lyon,22,8.0,18,1,0,114,121,16,143,66,60,0,1,0,292,94,90,51.1
vs Marseille,28,8.0,10,3,0,82,99,15,93,53,57,0,4,1,273,64,86,42.7
vs Metz,24,8.0,9,0,0,89,88,13,133,54,76,3,2,0,334,67,57,54.0
vs Monaco,26,8.0,13,3,2,85,96,7,136,86,89,3,3,2,357,89,105,45.9
vs Nantes,22,9.0,20,0,0,116,97,33,220,60,86,1,1,0,394,106,103,50.7
vs Nice,26,8.0,11,1,0,107,92,5,169,49,74,1,1,1,329,116,112,50.9
vs Paris FC,24,9.0,16,2,0,100,94,12,148,54,94,4,2,0,358,119,93,56.1
vs Paris S-G,22,8.0,11,0,0,82,74,9,74,87,101,1,4,0,336,59,52,53.2
vs Rennes,25,8.0,21,2,0,102,95,14,156,75,75,3,1,1,339,72,75,49.0
vs Strasbourg,25,8.0,17,0,0,103,90,13,146,61,108,1,2,0,352,72,73,49.7
vs Toulouse,22,8.0,11,2,0,93,106,7,130,54,87,2,4,1,317,92,117,44.0
