Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Angers,23,8.0,4728,5422,87.2,81601,24849,2068,2228,92.8,2188,2399,91.2,356,556,64.0,8,10.1,8.6,-2.1,79,385,56,11,407
vs Auxerre,22,8.0,3415,4097,83.4,58470,19883,1500,1657,90.5,1562,1759,88.8,258,472,54.7,11,10.0,8.6,1.0,84,259,61,20,287
vs Brest,26,8.0,3358,4094,82.0,59600,20406,1451,1654,87.7,1545,1710,90.4,301,548,54.9,8,8.1,9.3,-0.1,73,244,81,25,348
vs Le Havre,22,8.0,3747,4411,84.9,63432,20810,1763,1927,91.5,1573,1756,89.6,319,521,61.2,11,8.5,7.9,2.5,60,304,53,13,341
vs Lens,22,8.0,3680,4433,83.0,64945,21860,1582,1768,89.5,1656,1840,90.0,341,593,57.5,5,8.4,8.8,-3.4,85,273,65,16,308
vs Lille,27,8.0,2626,3321,79.1,47492,16588,1145,1310,87.4,1178,1346,87.5,265,525,50.5,5,7.5,5.5,-2.5,57,180,39,9,214
vs Lorient,22,8.0,4003,4649,86.1,72462,20700,1540,1693,91.0,2027,2210,91.7,340,565,60.2,12,7.1,8.1,4.9,62,364,60,9,348
vs Lyon,22,8.0,2568,3216,79.9,46905,17027,1109,1246,89.0,1120,1300,86.2,283,494,57.3,6,7.1,6.6,-1.1,78,202,53,14,278
vs Marseille,28,8.0,2763,3318,83.3,47755,16058,1273,1381,92.2,1174,1300,90.3,238,471,50.5,5,5.7,4.8,-0.7,53,158,39,11,207
vs Metz,24,8.0,3537,4117,85.9,58952,20301,1660,1802,92.1,1521,1681,90.5,250,423,59.1,15,13.1,10.6,1.9,87,253,65,13,348
vs Monaco,26,8.0,2759,3489,79.1,49158,18214,1176,1318,89.2,1198,1409,85.0,286,538,53.2,8,8.8,7.7,-0.8,76,205,61,11,272
vs Nantes,22,9.0,4138,4949,83.6,73474,24197,1786,1957,91.3,1864,2060,90.5,388,686,56.6,8,10.8,10.1,-2.8,116,388,96,30,430
vs Nice,26,8.0,2986,3716,80.4,55543,19748,1197,1351,88.6,1419,1622,87.5,321,597,53.8,9,9.8,9.8,-0.8,87,239,74,21,270
vs Paris FC,24,9.0,3256,4020,81.0,59095,21058,1388,1563,88.8,1489,1701,87.5,321,599,53.6,14,9.3,7.2,4.7,73,215,63,15,298
vs Paris S-G,22,8.0,2069,2665,77.6,37221,15847,963,1090,88.3,832,1000,83.2,231,413,55.9,5,5.6,5.8,-0.6,57,136,42,12,175
vs Rennes,25,8.0,3133,3832,81.8,54815,18852,1448,1603,90.3,1306,1499,87.1,302,545,55.4,7,8.7,8.3,-1.7,78,260,68,20,305
vs Strasbourg,25,8.0,3726,4416,84.4,64357,20574,1577,1739,90.7,1703,1874,90.9,315,544,57.9,5,6.7,7.7,-1.7,73,229,56,16,267
vs Toulouse,22,8.0,3929,4604,85.3,68090,21265,1751,1909,91.7,1774,1955,90.7,321,573,56.0,6,6.0,7.1,0.0,69,230,63,13,282
