Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Angers,23,25.7,8,720,90,100,8.0,88,81,53,35,15,37,1.88,12,4,8,1.0,15.7,8.4,7.3,0.91
vs Auxerre,22,25.3,8,720,90,100,8.0,88,83,54,33,21,39,2.0,12,7,5,0.62,11.4,9.0,2.5,0.31
vs Brest,26,25.7,8,720,90,100,8.0,88,85,47,40,20,32,1.5,14,14,0,0.0,12.4,13.1,-0.6,-0.08
vs Le Havre,22,25.8,8,720,90,100,8.0,88,81,54,33,22,39,1.88,16,10,6,0.75,11.6,10.2,1.4,0.17
vs Lens,22,26.4,8,720,90,100,8.0,88,82,51,35,24,37,0.88,7,12,-5,-0.62,10.5,14.4,-3.9,-0.49
vs Lille,27,25.9,8,720,90,100,8.0,88,82,57,32,17,37,1.0,10,16,-6,-0.75,11.2,16.4,-5.1,-0.64
vs Lorient,22,26.6,8,720,90,100,8.0,88,79,49,37,20,33,1.75,19,12,7,0.87,12.9,10.5,2.5,0.31
vs Lyon,22,26.2,8,720,90,100,8.0,88,85,52,35,22,37,1.13,8,11,-3,-0.37,9.1,14.9,-5.8,-0.73
vs Marseille,28,25.7,8,720,90,100,8.0,88,80,49,36,24,35,0.75,7,21,-14,-1.75,7.7,16.7,-9.1,-1.13
vs Metz,24,25.9,8,720,90,100,8.0,88,82,51,37,19,35,2.5,20,5,15,1.87,18.0,7.2,10.8,1.35
vs Monaco,26,25.7,8,720,90,100,8.0,88,81,52,34,20,36,1.0,13,17,-4,-0.5,12.8,15.6,-2.8,-0.35
vs Nantes,22,25.8,9,810,90,100,9.0,99,83,58,41,21,38,1.67,10,7,3,0.33,14.1,6.8,7.3,0.81
vs Nice,26,26.2,8,720,90,100,8.0,88,80,50,37,18,35,1.38,14,12,2,0.25,15.4,10.1,5.4,0.67
vs Paris FC,24,25.8,9,810,90,100,9.0,99,81,57,41,19,40,1.78,17,14,3,0.33,13.8,12.7,1.0,0.12
vs Paris S-G,22,25.9,8,720,90,100,8.0,88,80,50,38,20,34,0.63,8,16,-8,-1.0,8.6,13.4,-4.8,-0.6
vs Rennes,25,26.3,8,720,90,100,8.0,88,79,53,34,20,38,1.0,12,11,1,0.12,13.8,10.7,3.2,0.39
vs Strasbourg,25,26.2,8,720,90,100,8.0,88,80,49,39,18,32,0.88,10,17,-7,-0.87,9.9,15.7,-5.8,-0.72
vs Toulouse,22,25.8,8,720,90,100,8.0,88,81,52,34,19,38,1.25,12,15,-3,-0.37,9.6,12.8,-3.2,-0.4
