Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Angers,23,26.0,8,720,90,100,8.0,88,81,50,37,20,35,0.75,4,12,-8,-1.0,8.4,15.7,-7.3,-0.91
Auxerre,22,25.4,8,720,90,100,8.0,88,83,54,31,17,39,0.88,7,12,-5,-0.62,9.0,11.4,-2.5,-0.31
Brest,26,27.1,8,720,90,100,8.0,88,85,57,29,15,39,1.13,14,14,0,0.0,13.1,12.4,0.6,0.08
Le Havre,22,27.9,8,720,90,100,8.0,88,81,47,40,18,32,0.75,10,16,-6,-0.75,10.2,11.6,-1.4,-0.17
Lens,22,27.5,8,720,90,100,8.0,88,82,53,33,19,39,2.0,12,7,5,0.62,14.4,10.5,3.9,0.49
Lille,27,26.7,8,720,90,100,8.0,88,82,52,36,19,36,1.75,16,10,6,0.75,16.4,11.2,5.1,0.64
Lorient,22,25.3,8,720,90,100,8.0,88,79,50,37,25,34,1.0,12,19,-7,-0.87,10.5,12.9,-2.5,-0.31
Lyon,22,26.6,8,720,90,100,8.0,88,85,57,30,13,42,1.88,11,8,3,0.37,14.9,9.1,5.8,0.73
Marseille,28,27.7,8,720,90,100,8.0,88,80,49,38,21,34,2.25,21,7,14,1.75,16.7,7.7,9.1,1.13
Metz,24,26.3,8,720,90,100,8.0,88,82,52,34,18,38,0.25,5,20,-15,-1.87,7.2,18.0,-10.8,-1.35
Monaco,26,25.9,8,720,90,100,8.0,88,81,49,38,20,34,1.75,17,13,4,0.5,15.6,12.8,2.8,0.35
Nantes,22,25.1,9,810,90,100,9.0,99,83,57,43,17,38,1.0,7,10,-3,-0.33,6.8,14.1,-7.3,-0.81
Nice,26,25.4,8,720,90,100,8.0,88,80,49,39,21,33,1.38,12,14,-2,-0.25,10.1,15.4,-5.4,-0.67
Paris FC,24,27.4,9,810,90,100,9.0,99,81,53,45,19,36,1.11,14,17,-3,-0.33,12.7,13.8,-1.0,-0.12
Paris S-G,22,23.8,8,720,90,100,8.0,88,80,54,34,27,34,2.13,16,8,8,1.0,13.4,8.6,4.8,0.6
Rennes,25,26.3,8,720,90,100,8.0,88,79,54,32,24,40,1.38,11,12,-1,-0.12,10.7,13.8,-3.2,-0.39
Strasbourg,25,21.6,8,720,90,100,8.0,88,80,50,37,25,35,2.0,17,10,7,0.87,15.7,9.9,5.8,0.72
Toulouse,22,24.6,8,720,90,100,8.0,88,81,51,38,20,34,1.63,15,12,3,0.37,12.8,9.6,3.2,0.4
