Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Angers,23,37.3,8.0,4066,565,1689,1736,687,119,4065,115,36,31.3,73,63.5,1930,10490,5363,117,64,27,151,69,2466,210
Auxerre,22,44.8,8.0,4234,444,1482,1833,979,117,4232,136,58,42.6,63,46.3,2326,10978,4718,95,71,25,131,81,2539,225
Brest,26,45.0,8.0,4252,506,1565,1812,913,155,4249,94,39,41.5,52,55.3,2280,10514,4876,81,69,22,135,63,2523,231
Le Havre,22,44.4,8.0,4353,510,1501,1979,920,128,4351,99,44,44.4,49,49.5,2415,12947,6283,120,77,18,125,69,2761,242
Lens,22,44.5,8.0,4515,546,1632,1793,1137,224,4512,134,61,45.5,60,44.8,2185,10251,5253,120,70,36,120,65,2741,294
Lille,27,56.0,8.0,5061,439,1494,2244,1352,265,5059,125,56,44.8,64,51.2,2978,14697,7725,154,101,51,93,56,3408,362
Lorient,22,44.5,8.0,4458,459,1534,1978,990,160,4457,141,65,46.1,62,44.0,2702,14117,7281,151,89,26,100,72,2998,272
Lyon,22,57.1,8.0,5087,561,1710,2262,1162,199,5086,111,53,47.7,49,44.1,3051,15503,7950,144,107,36,106,48,3549,307
Marseille,28,59.3,8.0,5660,392,1246,2852,1590,206,5656,96,40,41.7,51,53.1,3837,16038,7882,132,102,50,104,35,4321,384
Metz,24,49.8,8.0,4918,701,2107,2088,757,105,4916,120,53,44.2,59,49.2,2963,15481,7738,125,94,29,125,75,3455,215
Monaco,26,56.9,8.0,5451,456,1372,2784,1346,189,5448,126,44,34.9,77,61.1,3049,15508,8148,142,107,37,130,70,3784,365
Nantes,22,42.3,9.0,4624,803,2157,1783,737,150,4623,147,72,49.0,71,48.3,2551,12995,6670,113,68,35,130,69,2802,206
Nice,26,50.1,8.0,4669,537,1422,2170,1120,168,4668,130,57,43.8,62,47.7,2813,15151,8011,140,101,32,119,67,3040,295
Paris FC,24,56.8,9.0,6168,682,2108,2805,1294,207,6166,118,48,40.7,66,55.9,3272,15983,8254,153,107,62,120,75,4471,390
Paris S-G,22,70.4,8.0,7269,461,1581,3644,2095,234,7265,195,72,36.9,112,57.4,4607,23246,11448,212,173,69,122,70,5805,429
Rennes,25,52.5,8.0,5019,518,1588,2244,1236,149,5018,127,60,47.2,62,48.8,2641,14881,7796,129,106,33,97,68,3487,344
Strasbourg,25,48.9,8.0,5108,570,1758,2346,1047,166,5106,167,68,40.7,92,55.1,3099,13792,6842,146,84,34,138,76,3532,327
Toulouse,22,39.8,8.0,3885,434,1309,1735,888,192,3881,151,72,47.7,75,49.7,2024,10426,5580,114,71,46,116,72,2293,240
