Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Angers,23,8.0,12,111,45,40.5,13.87,5.63,0.1,0.24,18.7,6,1,3,15.7,13.3,0.12,-3.7,-2.3
vs Auxerre,22,8.0,11,100,36,36.0,12.5,4.5,0.11,0.31,15.6,1,0,1,11.4,10.7,0.11,-0.4,0.3
vs Brest,26,8.0,14,102,35,34.3,12.75,4.37,0.13,0.37,14.4,2,1,1,12.4,11.7,0.12,1.6,1.3
vs Le Havre,22,8.0,15,74,30,40.5,9.25,3.75,0.16,0.4,17.4,3,3,3,11.6,9.2,0.12,3.4,2.8
vs Lens,22,8.0,7,110,27,24.5,13.75,3.38,0.06,0.26,17.5,5,0,0,10.5,10.5,0.1,-3.5,-3.5
vs Lille,27,8.0,10,83,26,31.3,10.37,3.25,0.12,0.38,17.5,2,0,1,11.2,10.3,0.13,-1.2,-0.3
vs Lorient,22,8.0,18,77,29,37.7,9.62,3.62,0.19,0.52,17.8,0,3,5,12.9,9.1,0.12,5.1,5.9
vs Lyon,22,8.0,6,100,24,24.0,12.5,3.0,0.06,0.25,16.4,2,0,0,9.1,9.1,0.09,-3.1,-3.1
vs Marseille,28,8.0,7,75,25,33.3,9.37,3.12,0.09,0.28,18.3,4,0,0,7.7,7.7,0.12,-0.7,-0.7
vs Metz,24,8.0,19,116,45,38.8,14.5,5.63,0.14,0.36,17.7,6,3,3,18.0,15.6,0.14,1.0,0.4
vs Monaco,26,8.0,12,96,24,25.0,12.0,3.0,0.09,0.38,18.1,1,3,4,12.8,9.7,0.1,-0.8,-0.7
vs Nantes,22,9.0,10,146,42,28.8,16.22,4.67,0.05,0.19,17.8,0,2,2,14.1,12.6,0.09,-4.1,-4.6
vs Nice,26,8.0,14,117,38,32.5,14.63,4.75,0.09,0.29,18.2,0,3,4,15.4,12.4,0.11,-1.4,-1.4
vs Paris FC,24,9.0,17,101,32,31.7,11.22,3.56,0.15,0.47,17.1,5,2,4,13.8,11.2,0.12,3.2,3.8
vs Paris S-G,22,8.0,7,74,21,28.4,9.25,2.62,0.09,0.33,17.1,1,0,1,8.6,7.8,0.11,-1.6,-0.8
vs Rennes,25,8.0,12,107,30,28.0,13.37,3.75,0.09,0.33,18.1,2,2,3,13.8,11.4,0.11,-1.8,-1.4
vs Strasbourg,25,8.0,10,92,31,33.7,11.5,3.87,0.1,0.29,17.4,3,1,1,9.9,9.1,0.1,0.1,-0.1
vs Toulouse,22,8.0,12,92,22,23.9,11.5,2.75,0.1,0.41,18.0,3,3,3,9.6,7.3,0.08,2.4,1.7
