Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Angers,23,8.0,4,72,20,27.8,9.0,2.5,0.04,0.15,15.8,1,1,1,8.4,7.6,0.11,-4.4,-4.6
Auxerre,22,8.0,6,83,25,30.1,10.37,3.12,0.06,0.2,19.5,3,1,2,9.0,7.5,0.09,-3.0,-2.5
Brest,26,8.0,13,106,30,28.3,13.25,3.75,0.09,0.33,17.6,2,3,3,13.1,10.7,0.1,-0.1,-0.7
Le Havre,22,8.0,10,88,26,29.5,11.0,3.25,0.1,0.35,18.8,4,1,2,10.2,8.6,0.1,-0.2,0.4
Lens,22,8.0,12,108,32,29.6,13.5,4.0,0.09,0.31,15.9,3,2,3,14.4,12.0,0.12,-2.4,-2.0
Lille,27,8.0,16,129,36,27.9,16.12,4.5,0.12,0.42,16.4,2,1,2,16.4,14.9,0.12,-0.4,0.1
Lorient,22,8.0,12,92,34,37.0,11.5,4.25,0.13,0.35,16.2,3,0,1,10.5,9.5,0.11,1.5,2.5
Lyon,22,8.0,11,112,37,33.0,14.0,4.62,0.1,0.3,15.9,2,0,1,14.9,14.2,0.14,-3.9,-3.2
Marseille,28,8.0,20,115,46,40.0,14.37,5.75,0.15,0.37,17.6,3,3,4,16.7,14.1,0.12,3.3,2.9
Metz,24,8.0,5,55,13,23.6,6.87,1.62,0.07,0.31,17.3,0,1,2,7.2,5.6,0.1,-2.2,-1.6
Monaco,26,8.0,15,93,26,28.0,11.62,3.25,0.13,0.46,16.1,3,3,3,15.6,13.3,0.14,-0.6,-1.3
Nantes,22,9.0,7,84,18,21.4,9.33,2.0,0.08,0.39,19.7,3,0,1,6.8,6.0,0.07,0.2,1.0
Nice,26,8.0,11,100,33,33.0,12.5,4.12,0.1,0.3,17.6,1,1,1,10.1,9.3,0.09,0.9,0.7
Paris FC,24,9.0,14,118,39,33.1,13.11,4.33,0.1,0.31,18.2,1,2,2,12.7,11.2,0.1,1.3,0.8
Paris S-G,22,8.0,16,127,46,36.2,15.87,5.75,0.1,0.28,20.0,8,3,4,13.4,10.3,0.08,2.6,2.7
Rennes,25,8.0,10,103,32,31.1,12.87,4.0,0.09,0.28,18.4,1,1,1,10.7,9.9,0.1,-0.7,-0.9
Strasbourg,25,8.0,17,90,38,42.2,11.25,4.75,0.17,0.39,15.9,5,2,2,15.7,14.1,0.17,1.3,0.9
Toulouse,22,8.0,14,98,31,31.6,12.25,3.87,0.12,0.39,16.2,1,2,4,12.8,9.8,0.1,1.2,2.2
