Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Angers,23,25.7,62.8,8,88,720,8.0,12,8,20,11,1,3,10,0,15.7,13.3,10.1,23.4,162,407,1.5,1.0,2.5,1.37,2.37,1.96,1.26,3.21,1.66,2.92
vs Auxerre,22,25.3,55.3,8,88,720,8.0,11,11,22,11,0,1,26,1,11.4,10.7,10.0,20.7,109,287,1.37,1.37,2.75,1.37,2.75,1.43,1.25,2.68,1.34,2.59
vs Brest,26,25.7,55.0,8,88,720,8.0,14,8,22,13,1,1,13,1,12.4,11.7,8.1,19.7,125,348,1.75,1.0,2.75,1.62,2.62,1.56,1.01,2.57,1.46,2.47
vs Le Havre,22,25.8,55.6,8,88,720,8.0,15,11,26,12,3,3,19,1,11.6,9.2,8.5,17.7,148,341,1.87,1.37,3.25,1.5,2.87,1.45,1.06,2.51,1.15,2.21
vs Lens,22,26.4,55.5,8,88,720,8.0,7,5,12,7,0,0,21,3,10.5,10.5,8.4,18.9,130,308,0.87,0.62,1.5,0.87,1.5,1.31,1.05,2.36,1.31,2.36
vs Lille,27,25.9,44.0,8,88,720,8.0,10,5,15,10,0,1,18,1,11.2,10.3,7.5,17.8,118,214,1.25,0.62,1.87,1.25,1.87,1.4,0.93,2.34,1.28,2.22
vs Lorient,22,26.6,55.5,8,88,720,8.0,18,12,30,15,3,5,17,3,12.9,9.1,7.1,16.2,113,348,2.25,1.5,3.75,1.87,3.38,1.62,0.89,2.51,1.14,2.03
vs Lyon,22,26.2,42.9,8,88,720,8.0,6,6,12,6,0,0,18,1,9.1,9.1,7.1,16.2,142,278,0.75,0.75,1.5,0.75,1.5,1.14,0.89,2.02,1.14,2.02
vs Marseille,28,25.7,40.8,8,88,720,8.0,7,5,12,7,0,0,10,3,7.7,7.7,5.7,13.3,113,207,0.87,0.62,1.5,0.87,1.5,0.96,0.71,1.67,0.96,1.67
vs Metz,24,25.9,50.3,8,88,720,8.0,19,15,34,16,3,3,9,0,18.0,15.6,13.1,28.7,161,348,2.37,1.87,4.25,2.0,3.87,2.25,1.63,3.88,1.95,3.58
vs Monaco,26,25.7,43.1,8,88,720,8.0,12,8,20,9,3,4,13,3,12.8,9.7,8.8,18.5,146,272,1.5,1.0,2.5,1.13,2.12,1.6,1.1,2.7,1.22,2.31
vs Nantes,22,25.8,57.7,9,99,810,9.0,10,8,18,8,2,2,20,0,14.1,12.6,10.8,23.4,174,430,1.11,0.89,2.0,0.89,1.78,1.56,1.2,2.76,1.4,2.6
vs Nice,26,26.2,49.9,8,88,720,8.0,14,9,23,11,3,4,11,1,15.4,12.4,9.8,22.2,127,270,1.75,1.13,2.87,1.37,2.5,1.93,1.23,3.16,1.55,2.78
vs Paris FC,24,25.8,43.2,9,99,810,9.0,17,14,31,15,2,4,16,2,13.8,11.2,9.3,20.5,132,298,1.89,1.56,3.44,1.67,3.22,1.53,1.03,2.56,1.24,2.27
vs Paris S-G,22,25.9,29.6,8,88,720,8.0,7,5,12,7,0,1,11,0,8.6,7.8,5.6,13.5,98,175,0.87,0.62,1.5,0.87,1.5,1.08,0.7,1.78,0.98,1.68
vs Rennes,25,26.3,47.5,8,88,720,8.0,12,7,19,10,2,3,21,2,13.8,11.4,8.7,20.1,144,305,1.5,0.87,2.37,1.25,2.12,1.73,1.09,2.81,1.43,2.52
vs Strasbourg,25,26.2,51.1,8,88,720,8.0,10,5,15,9,1,1,17,0,9.9,9.1,6.7,15.8,120,267,1.25,0.62,1.87,1.13,1.75,1.23,0.84,2.08,1.13,1.98
vs Toulouse,22,25.8,60.3,8,88,720,8.0,12,6,18,9,3,3,11,2,9.6,7.3,6.0,13.3,126,282,1.5,0.75,2.25,1.13,1.87,1.2,0.75,1.95,0.91,1.67
