Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Angers,23,26.0,37.3,8,88,720,8.0,4,3,7,3,1,1,12,1,8.4,7.6,6.1,13.7,117,211,0.5,0.37,0.87,0.37,0.75,1.05,0.76,1.81,0.95,1.71
Auxerre,22,25.4,44.8,8,88,720,8.0,6,3,9,5,1,2,20,3,9.0,7.5,4.9,12.4,95,228,0.75,0.37,1.13,0.62,1.0,1.12,0.61,1.73,0.94,1.55
Brest,26,27.1,45.0,8,88,720,8.0,13,9,22,10,3,3,12,2,13.1,10.7,8.2,18.9,81,234,1.62,1.13,2.75,1.25,2.37,1.63,1.03,2.66,1.34,2.37
Le Havre,22,27.9,44.4,8,88,720,8.0,10,7,17,9,1,2,14,1,10.2,8.6,7.3,15.9,120,245,1.25,0.87,2.12,1.13,2.0,1.28,0.91,2.19,1.08,1.99
Lens,22,27.5,44.5,8,88,720,8.0,12,7,19,10,2,3,18,2,14.4,12.0,8.6,20.6,120,299,1.5,0.87,2.37,1.25,2.12,1.8,1.07,2.88,1.51,2.58
Lille,27,26.7,56.0,8,88,720,8.0,16,12,28,15,1,2,19,0,16.4,14.9,11.7,26.5,154,367,2.0,1.5,3.5,1.87,3.38,2.04,1.46,3.5,1.86,3.32
Lorient,22,25.3,44.5,8,88,720,8.0,12,10,22,12,0,1,26,1,10.5,9.5,8.3,17.8,151,273,1.5,1.25,2.75,1.5,2.75,1.31,1.04,2.35,1.19,2.23
Lyon,22,26.6,57.1,8,88,720,8.0,11,7,18,11,0,1,16,1,14.9,14.2,10.6,24.8,144,312,1.37,0.87,2.25,1.37,2.25,1.87,1.33,3.19,1.78,3.1
Marseille,28,27.7,59.3,8,88,720,8.0,20,14,34,17,3,4,18,1,16.7,14.1,11.5,25.6,132,387,2.5,1.75,4.25,2.12,3.87,2.09,1.44,3.53,1.77,3.2
Metz,24,26.3,49.8,8,88,720,8.0,5,4,9,4,1,2,8,2,7.2,5.6,5.4,11.0,125,216,0.62,0.5,1.13,0.5,1.0,0.9,0.67,1.57,0.7,1.37
Monaco,26,25.9,56.9,8,88,720,8.0,15,11,26,12,3,3,17,1,15.6,13.3,9.8,23.1,142,367,1.87,1.37,3.25,1.5,2.87,1.95,1.23,3.18,1.66,2.89
Nantes,22,25.1,42.3,9,99,810,9.0,7,4,11,7,0,1,13,0,6.8,6.0,4.6,10.6,113,210,0.78,0.44,1.22,0.78,1.22,0.75,0.51,1.26,0.67,1.17
Nice,26,25.4,50.1,8,88,720,8.0,11,10,21,10,1,1,18,1,10.1,9.3,8.4,17.7,140,297,1.37,1.25,2.62,1.25,2.5,1.26,1.04,2.3,1.17,2.21
Paris FC,24,27.4,56.8,9,99,810,9.0,14,10,24,12,2,2,12,1,12.7,11.2,9.0,20.2,153,392,1.56,1.11,2.67,1.33,2.44,1.41,1.0,2.42,1.24,2.24
Paris S-G,22,23.8,70.4,8,88,720,8.0,16,8,24,13,3,4,7,0,13.4,10.3,8.8,19.1,212,430,2.0,1.0,3.0,1.62,2.62,1.68,1.1,2.78,1.28,2.39
Rennes,25,26.3,52.5,8,88,720,8.0,10,8,18,9,1,1,13,3,10.7,9.9,8.6,18.5,129,347,1.25,1.0,2.25,1.13,2.12,1.33,1.08,2.41,1.23,2.31
Strasbourg,25,21.6,48.9,8,88,720,8.0,17,14,31,15,2,2,17,2,15.7,14.1,12.4,26.5,146,329,2.12,1.75,3.87,1.87,3.62,1.96,1.55,3.51,1.76,3.31
Toulouse,22,24.6,39.8,8,88,720,8.0,14,7,21,12,2,4,21,1,12.8,9.8,7.0,16.9,114,241,1.75,0.87,2.62,1.5,2.37,1.6,0.88,2.48,1.23,2.11
