Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Alverca,25,9.0,144,86,52,68,24,71,132,53.8,61,72,16,56,57,201,194,4
vs Arouca,22,8.0,109,78,36,58,15,54,99,54.5,45,79,15,64,53,162,179,3
vs AVS Futebol,26,8.0,115,68,42,48,25,60,121,49.6,61,70,20,50,65,180,228,3
vs Benfica,24,8.0,136,88,80,41,15,66,147,44.9,81,102,31,71,51,187,229,2
vs Braga,23,8.0,114,66,60,51,3,60,107,56.1,47,94,24,70,90,204,264,3
vs Casa Pia,25,8.0,99,63,43,36,20,46,102,45.1,56,70,19,51,41,140,241,4
vs Estoril,20,8.0,148,95,68,69,11,82,141,58.2,59,70,20,50,47,195,228,9
vs Estrela,27,8.0,124,85,47,54,23,60,106,56.6,46,74,18,56,68,192,182,3
vs Famalicão,22,8.0,110,65,63,33,14,50,94,53.2,44,94,32,62,64,174,251,5
vs Gil Vicente FC,23,9.0,149,92,73,59,17,78,145,53.8,67,90,38,52,71,220,271,8
vs Moreirense,23,8.0,117,75,49,56,12,55,94,58.5,39,73,20,53,61,178,168,7
vs Nacional,23,8.0,130,85,57,52,21,53,115,46.1,62,97,26,71,34,164,253,5
vs Porto,23,8.0,134,95,79,42,13,74,146,50.7,72,92,26,66,71,205,195,13
vs Rio Ave,25,8.0,136,73,48,58,30,81,146,55.5,65,66,27,39,58,194,127,3
vs Santa Clara,22,8.0,137,88,73,55,9,75,135,55.6,60,77,24,53,71,208,229,4
vs Sporting CP,22,8.0,137,79,77,47,13,78,158,49.4,80,96,42,54,80,217,214,9
vs Tondela,25,8.0,103,59,56,35,12,55,116,47.4,61,70,17,53,73,176,261,3
vs Vitória,27,8.0,92,61,49,38,5,44,82,53.7,38,85,25,60,59,151,249,5
