Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Alverca,2,9,9,810,9.0,11,1.22,31,20,71.0,5,1,3,2,22.2,3,2,1,0,33.3
vs Arouca,1,8,8,720,8.0,10,1.25,26,16,61.5,3,3,2,3,37.5,0,0,0,0,
vs AVS Futebol,1,8,8,720,8.0,5,0.62,19,14,73.7,7,1,0,4,50.0,1,0,0,1,
vs Benfica,2,8,8,720,8.0,13,1.62,39,26,74.4,0,3,5,1,12.5,3,3,0,0,0.0
vs Braga,1,8,8,720,8.0,12,1.5,42,30,81.0,2,4,2,2,25.0,4,4,0,0,0.0
vs Casa Pia,2,8,8,720,8.0,8,1.0,26,18,73.1,4,2,2,3,37.5,1,1,0,0,0.0
vs Estoril,1,8,8,720,8.0,10,1.25,30,21,66.7,4,3,1,3,37.5,0,0,0,0,
vs Estrela,1,8,8,716,8.0,6,0.75,28,22,78.6,3,4,1,5,62.5,1,0,0,1,
vs Famalicão,1,8,8,720,8.0,8,1.0,26,18,69.2,1,4,3,2,25.0,0,0,0,0,
vs Gil Vicente FC,2,9,9,810,9.0,14,1.56,42,27,71.4,2,1,6,2,22.2,3,2,1,0,33.3
vs Moreirense,2,8,8,720,8.0,12,1.5,25,13,52.0,3,0,5,2,25.0,0,0,0,0,
vs Nacional,2,8,8,720,8.0,9,1.13,30,20,80.0,4,1,3,2,25.0,4,3,1,0,25.0
vs Porto,1,8,8,720,8.0,19,2.37,46,27,60.9,0,1,7,1,12.5,1,1,0,0,0.0
vs Rio Ave,1,8,8,720,8.0,11,1.37,36,25,72.2,2,5,1,2,25.0,1,1,0,0,0.0
vs Santa Clara,1,8,8,720,8.0,6,0.75,32,26,90.6,4,2,2,3,37.5,3,3,0,0,0.0
vs Sporting CP,2,8,8,720,8.0,20,2.5,51,32,66.7,1,1,6,0,0.0,3,3,0,0,0.0
vs Tondela,1,8,8,720,8.0,4,0.5,37,31,91.9,5,2,1,6,75.0,3,1,2,0,66.7
vs Vitória,2,8,8,720,8.0,9,1.13,32,22,75.0,3,2,3,3,37.5,2,1,1,0,50.0
