Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alverca,2,9,9,810,9.0,16,1.78,39,22,64.1,3,1,5,2,22.2,4,2,1,1,33.3
Arouca,1,8,8,720,8.0,19,2.37,40,20,57.5,2,3,3,0,0.0,3,2,1,0,33.3
AVS Futebol,1,8,8,720,8.0,20,2.5,39,19,53.8,0,1,7,0,0.0,2,2,0,0,0.0
Benfica,2,8,8,720,8.0,4,0.5,30,26,86.7,5,3,0,4,50.0,0,0,0,0,
Braga,1,8,8,720,8.0,8,1.0,26,17,73.1,2,4,2,2,25.0,2,1,1,0,50.0
Casa Pia,2,8,8,720,8.0,13,1.62,34,21,61.8,2,2,4,2,25.0,1,0,0,1,
Estoril,1,8,8,720,8.0,13,1.62,31,18,71.0,1,3,4,0,0.0,4,4,0,0,0.0
Estrela,1,8,8,720,8.0,8,1.0,34,25,82.4,1,4,3,3,37.5,3,2,1,0,33.3
Famalicão,1,8,8,720,8.0,4,0.5,30,26,90.0,3,4,1,5,62.5,1,1,0,0,0.0
Gil Vicente FC,2,9,9,806,9.0,4,0.45,30,25,90.0,6,1,2,7,77.8,2,1,1,0,50.0
Moreirense,2,8,8,720,8.0,11,1.37,40,29,85.0,5,0,3,2,25.0,5,5,0,0,0.0
Nacional,2,8,8,720,8.0,12,1.5,32,20,65.6,3,1,4,2,25.0,1,1,0,0,0.0
Porto,1,8,8,720,8.0,1,0.12,13,13,92.3,7,1,0,7,87.5,0,0,0,0,
Rio Ave,1,8,8,720,8.0,13,1.62,50,37,74.0,1,5,2,2,25.0,0,0,0,0,
Santa Clara,1,8,8,720,8.0,10,1.25,31,20,67.7,2,2,4,2,25.0,1,0,1,0,100.0
Sporting CP,2,8,8,720,8.0,5,0.62,22,17,81.8,6,1,1,4,50.0,1,1,0,0,0.0
Tondela,1,8,8,720,8.0,14,1.75,42,29,71.4,1,2,5,1,12.5,2,2,0,0,0.0
Vitória,2,8,8,720,8.0,12,1.5,35,24,68.6,3,2,3,1,12.5,1,1,0,0,0.0
