Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Alverca,25,9.0,29,3,1,139,117,8,189,57,86,3,3,1,339,93,111,45.6
vs Arouca,22,8.0,20,2,1,107,114,24,160,53,78,1,0,0,328,115,101,53.2
vs AVS Futebol,26,8.0,25,2,2,99,126,12,149,65,68,2,1,0,342,113,126,47.3
vs Benfica,24,8.0,23,2,1,118,100,4,126,51,88,0,3,0,307,121,141,46.2
vs Braga,23,8.0,23,0,0,101,70,18,85,90,66,2,4,0,335,105,100,51.2
vs Casa Pia,25,8.0,23,0,0,128,121,16,139,41,63,1,1,0,318,111,134,45.3
vs Estoril,20,8.0,16,0,0,106,99,33,170,47,95,4,0,1,360,125,123,50.4
vs Estrela,27,8.0,22,4,1,133,99,12,144,68,85,3,1,0,289,112,113,49.8
vs Famalicão,22,8.0,18,1,1,138,139,16,138,64,65,1,0,0,312,118,117,50.2
vs Gil Vicente FC,23,9.0,25,0,0,131,131,14,165,71,92,1,3,0,345,154,129,54.4
vs Moreirense,23,8.0,15,0,0,116,115,11,159,61,75,3,0,0,350,121,98,55.3
vs Nacional,23,8.0,19,2,1,96,117,6,141,34,85,1,4,0,307,154,152,50.3
vs Porto,23,8.0,22,0,0,78,109,7,107,71,95,0,1,0,283,83,111,42.8
vs Rio Ave,25,8.0,22,2,2,123,114,11,218,58,73,0,1,0,358,92,102,47.4
vs Santa Clara,22,8.0,31,0,0,136,102,7,135,71,88,1,3,0,307,118,127,48.2
vs Sporting CP,22,8.0,26,2,1,120,91,10,85,80,79,1,3,1,324,82,81,50.3
vs Tondela,25,8.0,20,1,1,104,113,10,140,73,59,2,3,0,306,118,88,57.3
vs Vitória,27,8.0,26,1,1,120,113,7,110,59,61,0,2,0,264,118,99,54.4
