Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Alverca,25,9.0,3457,4246,81.4,62495,21194,1458,1623,89.8,1604,1816,88.3,325,629,51.7,11,7.2,7.8,3.8,76,308,62,23,351
vs Arouca,22,8.0,2729,3448,79.1,52556,18295,977,1106,88.3,1359,1538,88.4,331,622,53.2,14,10.6,8.5,3.4,85,226,65,20,279
vs AVS Futebol,26,8.0,3208,3992,80.4,58051,20415,1374,1543,89.0,1413,1614,87.5,340,637,53.4,15,10.0,8.2,5.0,80,268,76,15,345
vs Benfica,24,8.0,2205,2876,76.7,41154,15874,933,1078,86.5,948,1115,85.0,268,519,51.6,2,4.4,4.4,-2.4,53,161,37,17,216
vs Braga,23,8.0,2048,2825,72.5,40066,15415,759,901,84.2,959,1172,81.8,274,581,47.2,6,7.4,4.8,-1.4,48,127,26,11,153
vs Casa Pia,25,8.0,2876,3641,79.0,49847,17908,1329,1501,88.5,1243,1445,86.0,245,526,46.6,9,7.8,6.9,1.2,71,188,43,9,270
vs Estoril,20,8.0,2577,3439,74.9,50067,18920,980,1143,85.7,1194,1414,84.4,334,674,49.6,6,6.6,5.8,-0.6,60,244,49,18,250
vs Estrela,27,8.0,2500,3230,77.4,46311,17777,1025,1163,88.1,1109,1294,85.7,301,580,51.9,3,5.6,5.4,-2.6,67,186,50,15,263
vs Famalicão,22,8.0,2650,3358,78.9,52187,19996,930,1054,88.2,1338,1533,87.3,328,617,53.2,2,6.0,5.7,-4.0,62,178,39,12,206
vs Gil Vicente FC,23,9.0,3220,4062,79.3,59033,20576,1270,1439,88.3,1520,1739,87.4,338,646,52.3,2,5.7,7.0,-3.7,71,215,57,26,268
vs Moreirense,23,8.0,2921,3666,79.7,56046,18212,1078,1241,86.9,1487,1676,88.7,326,626,52.1,6,7.3,7.2,-1.3,81,266,55,17,299
vs Nacional,23,8.0,2812,3609,77.9,50580,17717,1186,1351,87.8,1327,1538,86.3,255,553,46.1,11,7.5,8.2,3.5,72,218,56,15,307
vs Porto,23,8.0,2537,3252,78.0,45017,14179,1087,1225,88.7,1120,1294,86.6,261,536,48.7,0,2.6,3.3,-2.6,53,170,30,8,168
vs Rio Ave,25,8.0,3451,4231,81.6,60700,21367,1513,1670,90.6,1513,1751,86.4,335,598,56.0,10,10.8,11.7,-0.8,102,340,87,18,399
vs Santa Clara,22,8.0,2963,3723,79.6,52320,17717,1320,1475,89.5,1299,1496,86.8,285,567,50.3,7,6.0,6.9,1.0,60,249,53,15,284
vs Sporting CP,22,8.0,2427,3089,78.6,42807,16910,1111,1244,89.3,1018,1177,86.5,237,504,47.0,3,3.6,4.0,-0.6,49,142,32,7,192
vs Tondela,25,8.0,2902,3662,79.2,52673,20052,1264,1401,90.2,1220,1434,85.1,333,613,54.3,8,9.8,9.8,-1.8,78,185,65,16,270
vs Vitória,27,8.0,2743,3446,79.6,50024,17411,1134,1288,88.0,1290,1452,88.8,259,541,47.9,7,6.9,5.5,0.1,70,171,48,17,230
