Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Alverca,25,9.0,2750,3524,78.0,50720,18085,1116,1271,87.8,1242,1427,87.0,308,629,49.0,5,7.0,5.4,-2.0,53,159,40,18,208
Arouca,22,8.0,2709,3399,79.7,49003,17210,1141,1242,91.9,1261,1440,87.6,250,562,44.5,6,4.3,4.4,1.7,55,179,30,11,210
AVS Futebol,26,8.0,2293,3081,74.4,44721,17192,863,1021,84.5,1074,1278,84.0,311,624,49.8,4,4.4,3.8,-0.4,53,166,46,24,230
Benfica,24,8.0,3649,4356,83.8,63730,19699,1661,1835,90.5,1529,1706,89.6,360,585,61.5,6,8.5,8.9,-2.5,82,335,85,17,413
Braga,23,8.0,4425,5245,84.4,74961,23528,2022,2206,91.7,1954,2165,90.3,331,610,54.3,6,7.1,8.0,-1.1,85,345,85,18,371
Casa Pia,25,8.0,2169,2947,73.6,41162,15941,846,1014,83.4,1049,1258,83.4,239,530,45.1,5,5.7,6.3,-0.7,59,154,30,10,190
Estoril,20,8.0,2613,3451,75.7,47019,19164,1175,1344,87.4,1086,1317,82.5,285,590,48.3,6,5.7,6.1,0.3,68,179,37,5,250
Estrela,27,8.0,2380,3103,76.7,46349,17015,911,1036,87.9,1094,1254,87.2,327,652,50.2,5,8.5,6.4,-3.5,63,165,50,24,224
Famalicão,22,8.0,2563,3358,76.3,47870,19012,1025,1170,87.6,1171,1408,83.2,302,581,52.0,5,8.4,9.9,-3.4,74,219,77,18,308
Gil Vicente FC,23,9.0,2571,3415,75.3,48972,18795,1027,1190,86.3,1112,1341,82.9,361,697,51.8,9,6.8,6.5,2.2,78,195,52,15,231
Moreirense,23,8.0,2876,3566,80.7,51613,17953,1186,1313,90.3,1375,1563,88.0,248,517,48.0,11,8.1,7.2,2.9,62,187,39,9,234
Nacional,23,8.0,1912,2722,70.2,38293,14420,689,834,82.6,880,1072,82.1,297,645,46.0,5,5.6,6.6,-0.6,55,152,40,15,186
Porto,23,8.0,3291,3948,83.4,57454,19629,1441,1609,89.6,1499,1684,89.0,271,464,58.4,16,11.9,8.3,4.1,89,215,64,12,299
Rio Ave,25,8.0,2553,3204,79.7,46778,16433,996,1103,90.3,1266,1431,88.5,238,529,45.0,8,5.1,4.8,2.9,58,148,32,9,187
Santa Clara,22,8.0,2667,3417,78.1,50446,16935,1045,1189,87.9,1288,1463,88.0,291,603,48.3,3,5.0,4.4,-2.0,60,213,40,19,242
Sporting CP,22,8.0,3784,4495,84.2,68106,22472,1616,1799,89.8,1743,1938,89.9,360,570,63.2,14,13.0,11.8,1.0,112,361,78,14,401
Tondela,25,8.0,2359,3135,75.2,44610,18226,941,1088,86.5,1058,1261,83.9,296,595,49.7,2,6.2,5.7,-4.2,68,214,45,20,268
Vitória,27,8.0,2662,3429,77.6,50127,18226,1027,1182,86.9,1280,1492,85.8,300,586,51.2,6,4.6,6.6,1.4,64,256,60,21,298
