Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Alverca,25,23.5,9,810,90,100,9.0,99,81,53,44,19,37,1.11,11,16,-5,-0.56,11.4,12.6,-1.2,-0.13
Arouca,22,25.6,8,720,90,100,8.0,88,79,45,40,22,32,1.13,10,19,-9,-1.13,5.5,14.7,-9.2,-1.15
AVS Futebol,26,26.9,8,720,90,100,8.0,88,78,47,40,26,31,0.13,5,20,-15,-1.87,6.6,13.5,-6.9,-0.87
Benfica,24,25.9,8,720,90,100,8.0,88,84,52,35,15,37,2.25,13,4,9,1.13,14.0,6.6,7.4,0.93
Braga,23,26.0,8,720,90,100,8.0,88,80,53,35,25,37,1.25,12,8,4,0.5,12.1,10.4,1.7,0.22
Casa Pia,25,28.0,8,720,90,100,8.0,88,79,48,40,25,32,1.0,8,13,-5,-0.62,7.8,12.2,-4.4,-0.54
Estoril,20,26.5,8,720,90,100,8.0,88,78,48,40,27,32,0.75,10,13,-3,-0.37,7.8,13.6,-5.8,-0.72
Estrela,27,25.6,8,720,90,100,8.0,88,80,47,41,21,31,0.88,6,8,-2,-0.25,10.3,10.9,-0.5,-0.07
Famalicão,22,24.5,8,720,90,100,8.0,88,83,53,34,16,38,1.63,8,4,4,0.5,10.5,8.0,2.5,0.31
Gil Vicente FC,23,25.9,9,810,90,100,9.0,99,79,52,45,23,36,2.11,14,4,10,1.11,12.4,8.8,3.6,0.4
Moreirense,23,27.3,8,720,90,100,8.0,88,81,50,37,20,34,1.88,12,11,1,0.12,9.9,13.2,-3.4,-0.42
Nacional,23,27.4,8,720,90,100,8.0,88,82,52,33,17,39,1.25,9,12,-3,-0.37,10.9,11.0,-0.1,-0.02
Porto,23,25.0,8,720,90,100,8.0,88,78,49,39,26,33,2.75,19,1,18,2.25,15.8,3.9,11.9,1.49
Rio Ave,25,24.9,8,720,90,100,8.0,88,81,47,40,21,32,1.0,11,13,-2,-0.25,8.3,13.6,-5.3,-0.66
Santa Clara,22,27.0,8,720,90,100,8.0,88,78,49,39,26,33,1.0,6,10,-4,-0.5,9.8,8.9,0.9,0.11
Sporting CP,22,25.6,8,720,90,100,8.0,88,81,50,38,20,34,2.38,20,5,15,1.87,19.0,5.4,13.6,1.7
Tondela,25,25.6,8,720,90,100,8.0,88,79,47,40,24,31,0.63,4,14,-10,-1.25,10.9,14.5,-3.6,-0.45
Vitória,27,26.0,8,720,90,100,8.0,88,79,51,37,26,35,1.38,9,12,-3,-0.37,9.0,10.3,-1.3,-0.16
