Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Alverca,25,54.6,9.0,5206,399,1476,2399,1375,170,5202,135,56,41.5,74,54.8,3088,15310,7680,126,115,20,154,87,3432,350
vs Arouca,22,50.1,8.0,4257,399,1335,1940,1021,194,4254,117,57,48.7,52,44.4,2234,11554,6390,124,85,36,115,56,2701,277
vs AVS Futebol,26,56.1,8.0,4870,461,1488,2249,1171,212,4868,111,48,43.2,57,51.4,2863,13998,7274,138,96,46,121,73,3179,341
vs Benfica,24,40.1,8.0,3836,548,1453,1612,821,125,3836,167,75,44.9,73,43.7,1962,10607,5857,108,67,22,137,60,2173,214
vs Braga,23,34.9,8.0,3781,618,1668,1549,603,105,3779,122,57,46.7,49,40.2,1751,8341,4111,86,53,27,104,57,2026,151
vs Casa Pia,25,55.0,8.0,4551,430,1416,2128,1059,170,4550,153,61,39.9,79,51.6,2513,12336,6436,110,96,28,123,61,2852,269
vs Estoril,20,49.8,8.0,4375,480,1436,1988,988,147,4371,130,61,46.9,59,45.4,2135,11031,5939,133,90,28,136,58,2549,245
vs Estrela,27,50.8,8.0,4116,365,1122,1984,1044,155,4113,116,42,36.2,61,52.6,2290,11692,6012,103,89,26,146,51,2470,258
vs Famalicão,22,49.9,8.0,4341,621,1848,1712,821,123,4340,157,63,40.1,76,48.4,2291,10500,5074,72,56,19,140,59,2628,202
vs Gil Vicente FC,23,54.3,9.0,5098,559,1893,2185,1071,176,5096,150,61,40.7,72,48.0,2818,12959,6265,104,72,31,146,76,3173,268
vs Moreirense,23,50.8,8.0,4524,427,1456,1962,1154,163,4519,159,64,40.3,77,48.4,2625,12548,6632,102,85,36,111,38,2899,298
vs Nacional,23,55.9,8.0,4556,482,1545,2007,1039,169,4555,115,39,33.9,58,50.4,2400,12201,6379,120,70,32,114,64,2787,305
vs Porto,23,45.1,8.0,4091,550,1583,1778,772,93,4091,117,57,48.7,45,38.5,2322,10801,5165,85,64,14,118,48,2521,167
vs Rio Ave,25,56.6,8.0,5068,363,1199,2320,1595,264,5068,130,61,46.9,51,39.2,2845,15436,8562,179,109,49,121,71,3427,398
vs Santa Clara,22,51.5,8.0,4627,450,1399,2120,1145,114,4626,117,52,44.4,50,42.7,2566,12390,6102,107,88,16,123,54,2931,278
vs Sporting CP,22,40.3,8.0,4040,607,1608,1722,752,93,4039,123,52,42.3,65,52.8,2026,9340,4440,69,60,16,141,64,2409,192
vs Tondela,25,53.4,8.0,4620,564,1770,1924,978,186,4618,186,92,49.5,86,46.2,2413,12860,6783,148,92,41,129,62,2876,270
vs Vitória,27,49.9,8.0,4350,570,1692,1830,881,128,4349,120,46,38.3,58,48.3,2473,11033,5156,79,60,13,117,53,2712,227
