Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Alverca,25,9.0,16,107,36,33.6,11.89,4.0,0.13,0.39,19.4,4,2,4,12.6,9.7,0.09,3.4,4.3
vs Arouca,22,8.0,19,112,37,33.0,14.0,4.62,0.15,0.46,17.6,6,2,3,14.7,12.3,0.11,4.3,4.7
vs AVS Futebol,26,8.0,20,106,37,34.9,13.25,4.62,0.17,0.49,16.6,4,2,2,13.5,11.9,0.12,6.5,6.1
vs Benfica,24,8.0,4,80,30,37.5,10.0,3.75,0.05,0.13,18.1,8,0,0,6.6,6.6,0.09,-2.6,-2.6
vs Braga,23,8.0,8,75,24,32.0,9.37,3.0,0.09,0.29,18.5,1,1,2,10.4,8.8,0.13,-2.4,-1.8
vs Casa Pia,25,8.0,13,107,34,31.8,13.37,4.25,0.12,0.38,17.5,4,0,1,12.2,11.4,0.11,0.8,1.6
vs Estoril,20,8.0,13,99,27,27.3,12.38,3.38,0.09,0.33,18.2,3,4,4,13.6,10.5,0.11,-0.6,-1.5
vs Estrela,27,8.0,8,95,31,32.6,11.87,3.87,0.06,0.19,18.2,5,2,3,10.9,8.4,0.09,-2.9,-2.4
vs Famalicão,22,8.0,4,85,29,34.1,10.62,3.62,0.04,0.1,18.7,3,1,1,8.0,7.2,0.09,-4.0,-4.2
vs Gil Vicente FC,23,9.0,4,97,28,28.9,10.78,3.11,0.03,0.11,17.9,6,1,2,8.8,7.3,0.08,-4.8,-4.3
vs Moreirense,23,8.0,11,114,35,30.7,14.25,4.37,0.05,0.17,19.6,4,5,5,13.2,9.3,0.08,-2.2,-3.3
vs Nacional,23,8.0,12,107,31,29.0,13.37,3.87,0.1,0.35,18.5,8,1,1,11.0,10.2,0.1,1.0,0.8
vs Porto,23,8.0,0,81,13,16.0,10.13,1.62,0.0,0.0,20.9,4,0,0,3.9,3.9,0.05,-3.9,-3.9
vs Rio Ave,25,8.0,13,141,50,35.5,17.62,6.25,0.09,0.26,16.2,1,0,0,13.6,13.6,0.1,-0.6,-0.6
vs Santa Clara,22,8.0,10,76,30,39.5,9.5,3.75,0.13,0.33,19.0,3,0,1,8.9,8.2,0.11,1.1,1.8
vs Sporting CP,22,8.0,5,61,21,34.4,7.62,2.62,0.07,0.19,20.0,1,1,1,5.4,4.6,0.08,-0.4,-0.6
vs Tondela,25,8.0,13,106,40,37.7,13.25,5.0,0.1,0.28,17.1,4,2,2,14.5,12.9,0.13,-1.5,-1.9
vs Vitória,27,8.0,11,97,34,35.1,12.12,4.25,0.1,0.29,19.0,4,1,1,10.3,9.5,0.1,0.7,0.5
