Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alverca,25,9.0,10,77,28,36.4,8.56,3.11,0.1,0.29,18.0,6,2,3,11.4,9.2,0.12,-1.4,-1.2
Arouca,22,8.0,10,78,26,33.3,9.75,3.25,0.13,0.38,19.2,4,0,0,5.5,5.5,0.07,4.5,4.5
AVS Futebol,26,8.0,5,77,19,24.7,9.62,2.37,0.06,0.26,18.2,3,0,1,6.6,5.8,0.08,-1.6,-0.8
Benfica,24,8.0,13,109,36,33.0,13.62,4.5,0.09,0.28,17.0,5,3,3,14.0,11.7,0.11,-1.0,-1.7
Braga,23,8.0,12,105,38,36.2,13.12,4.75,0.08,0.21,18.1,1,4,4,12.1,9.0,0.09,-0.1,-1.0
Casa Pia,25,8.0,8,82,25,30.5,10.25,3.12,0.09,0.28,18.4,4,1,1,7.8,7.0,0.09,0.2,0.0
Estoril,20,8.0,9,94,30,31.9,11.75,3.75,0.1,0.3,18.3,3,0,0,7.8,7.8,0.08,1.2,1.2
Estrela,27,8.0,6,89,28,31.5,11.12,3.5,0.07,0.21,19.6,10,0,1,10.3,9.5,0.11,-4.3,-3.5
Famalicão,22,8.0,8,104,26,25.0,13.0,3.25,0.08,0.31,15.9,1,0,0,10.5,10.5,0.1,-2.5,-2.5
Gil Vicente FC,23,9.0,14,126,39,31.0,14.0,4.33,0.1,0.31,17.9,5,2,3,12.4,9.9,0.08,1.6,2.1
Moreirense,23,8.0,12,76,25,32.9,9.5,3.12,0.16,0.48,17.2,3,0,0,9.9,9.9,0.13,2.1,2.1
Nacional,23,8.0,9,86,26,30.2,10.75,3.25,0.07,0.23,20.8,6,3,4,10.9,7.7,0.1,-1.9,-1.7
Porto,23,8.0,19,119,45,37.8,14.87,5.63,0.15,0.4,16.6,2,1,1,15.8,15.0,0.13,3.2,3.0
Rio Ave,25,8.0,11,83,35,42.2,10.37,4.37,0.12,0.29,18.8,5,1,1,8.3,7.5,0.09,2.7,2.5
Santa Clara,22,8.0,6,92,29,31.5,11.5,3.62,0.03,0.1,18.9,3,3,3,9.8,7.7,0.09,-3.8,-4.7
Sporting CP,22,8.0,19,146,48,32.9,18.25,6.0,0.11,0.33,17.8,2,3,3,19.0,16.7,0.12,0.0,-0.7
Tondela,25,8.0,4,98,34,34.7,12.25,4.25,0.03,0.09,19.0,4,1,3,10.9,8.6,0.09,-6.9,-5.6
Vitória,27,8.0,9,105,30,28.6,13.12,3.75,0.08,0.27,20.4,6,1,2,9.0,7.4,0.07,0.0,0.6
