Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Alverca,25,25.9,54.6,9,99,810,9.0,16,11,27,14,2,4,29,3,12.6,9.7,7.2,16.9,126,351,1.78,1.22,3.0,1.56,2.78,1.4,0.8,2.19,1.08,1.88
vs Arouca,22,26.3,50.1,8,88,720,8.0,19,14,33,17,2,3,20,2,14.7,12.3,10.6,22.9,124,279,2.37,1.75,4.12,2.12,3.87,1.83,1.33,3.16,1.54,2.87
vs AVS Futebol,26,25.5,56.1,8,88,720,8.0,20,15,35,18,2,2,25,2,13.5,11.9,10.0,21.9,138,345,2.5,1.87,4.37,2.25,4.12,1.69,1.24,2.93,1.49,2.73
vs Benfica,24,25.5,40.1,8,88,720,8.0,4,2,6,4,0,0,23,2,6.6,6.6,4.4,11.0,108,216,0.5,0.25,0.75,0.5,0.75,0.83,0.55,1.38,0.83,1.38
vs Braga,23,25.5,34.9,8,88,720,8.0,8,6,14,7,1,2,23,0,10.4,8.8,7.4,16.2,86,153,1.0,0.75,1.75,0.87,1.62,1.3,0.92,2.22,1.1,2.02
vs Casa Pia,25,26.4,55.0,8,88,720,8.0,13,9,22,13,0,1,23,0,12.2,11.4,7.8,19.2,110,270,1.62,1.13,2.75,1.62,2.75,1.52,0.98,2.5,1.42,2.4
vs Estoril,20,26.4,49.8,8,88,720,8.0,13,6,19,9,4,4,16,0,13.6,10.5,6.6,17.1,133,250,1.62,0.75,2.37,1.13,1.87,1.7,0.82,2.52,1.31,2.13
vs Estrela,27,25.7,50.8,8,88,720,8.0,8,3,11,6,2,3,22,4,10.9,8.4,5.6,13.9,103,263,1.0,0.37,1.37,0.75,1.13,1.36,0.7,2.05,1.05,1.74
vs Famalicão,22,26.1,49.9,8,88,720,8.0,4,2,6,3,1,1,18,1,8.0,7.2,6.0,13.3,72,206,0.5,0.25,0.75,0.37,0.62,1.0,0.75,1.76,0.9,1.66
vs Gil Vicente FC,23,26.1,54.3,9,99,810,9.0,4,2,6,3,1,2,25,0,8.8,7.3,5.7,13.1,104,268,0.44,0.22,0.67,0.33,0.56,0.98,0.64,1.62,0.81,1.45
vs Moreirense,23,25.6,50.8,8,88,720,8.0,11,6,17,6,5,5,15,0,13.2,9.3,7.3,16.6,102,299,1.37,0.75,2.12,0.75,1.5,1.65,0.91,2.56,1.16,2.07
vs Nacional,23,25.9,55.9,8,88,720,8.0,12,11,23,11,1,1,19,2,11.0,10.2,7.5,17.7,120,307,1.5,1.37,2.87,1.37,2.75,1.38,0.94,2.31,1.28,2.22
vs Porto,23,26.3,45.1,8,88,720,8.0,0,0,0,0,0,0,22,0,3.9,3.9,2.6,6.5,85,168,0.0,0.0,0.0,0.0,0.0,0.48,0.33,0.81,0.48,0.81
vs Rio Ave,25,26.2,56.6,8,88,720,8.0,13,10,23,13,0,0,22,2,13.6,13.6,10.8,24.4,179,399,1.62,1.25,2.87,1.62,2.87,1.7,1.35,3.05,1.7,3.05
vs Santa Clara,22,25.9,51.5,8,88,720,8.0,10,7,17,10,0,1,31,0,8.9,8.2,6.0,14.1,107,284,1.25,0.87,2.12,1.25,2.12,1.12,0.75,1.87,1.02,1.77
vs Sporting CP,22,26.2,40.3,8,88,720,8.0,5,3,8,4,1,1,26,2,5.4,4.6,3.6,8.3,69,192,0.62,0.37,1.0,0.5,0.87,0.67,0.46,1.13,0.58,1.03
vs Tondela,25,25.2,53.4,8,88,720,8.0,13,8,21,11,2,2,20,1,14.5,12.9,9.8,22.7,148,270,1.62,1.0,2.62,1.37,2.37,1.81,1.22,3.04,1.61,2.84
vs Vitória,27,25.9,49.9,8,88,720,8.0,11,7,18,10,1,1,26,1,10.3,9.5,6.9,16.4,79,230,1.37,0.87,2.25,1.25,2.12,1.29,0.86,2.15,1.19,2.05
