Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alverca,25,23.5,45.4,9,99,810,9.0,10,5,15,8,2,3,25,2,11.4,9.2,7.0,16.1,86,208,1.11,0.56,1.67,0.89,1.44,1.27,0.78,2.04,1.02,1.79
Arouca,22,25.6,49.9,8,88,720,8.0,10,6,16,10,0,0,23,3,5.5,5.5,4.3,9.8,74,210,1.25,0.75,2.0,1.25,2.0,0.69,0.53,1.22,0.69,1.22
AVS Futebol,26,26.9,43.9,8,88,720,8.0,5,4,9,5,0,1,16,1,6.6,5.8,4.4,10.2,92,230,0.62,0.5,1.13,0.62,1.13,0.82,0.55,1.37,0.72,1.27
Benfica,24,25.9,59.9,8,88,720,8.0,13,6,19,10,3,3,21,1,14.0,11.7,8.5,20.1,184,413,1.62,0.75,2.37,1.25,2.0,1.75,1.06,2.81,1.46,2.52
Braga,23,26.0,65.1,8,88,720,8.0,12,6,18,8,4,4,16,0,12.1,9.0,7.1,16.2,156,371,1.5,0.75,2.25,1.0,1.75,1.52,0.89,2.41,1.13,2.02
Casa Pia,25,28.0,45.0,8,88,720,8.0,8,5,13,7,1,1,28,0,7.8,7.0,5.7,12.8,82,190,1.0,0.62,1.62,0.87,1.5,0.98,0.71,1.69,0.88,1.59
Estoril,20,26.5,50.3,8,88,720,8.0,9,6,15,9,0,0,28,0,7.8,7.8,5.7,13.5,84,250,1.13,0.75,1.87,1.13,1.87,0.98,0.72,1.69,0.98,1.69
Estrela,27,25.6,49.3,8,88,720,8.0,6,5,11,6,0,1,21,2,10.3,9.5,8.5,18.0,99,224,0.75,0.62,1.37,0.75,1.37,1.29,1.06,2.35,1.19,2.25
Famalicão,22,24.5,50.1,8,88,720,8.0,8,5,13,8,0,0,24,1,10.5,10.5,8.4,18.9,127,308,1.0,0.62,1.62,1.0,1.62,1.31,1.04,2.36,1.31,2.36
Gil Vicente FC,23,25.9,45.7,9,99,810,9.0,14,9,23,12,2,3,25,3,12.4,9.9,6.8,16.7,117,231,1.56,1.0,2.56,1.33,2.33,1.38,0.76,2.14,1.1,1.86
Moreirense,23,27.3,49.3,8,88,720,8.0,12,11,23,12,0,0,25,1,9.9,9.9,8.1,17.9,90,234,1.5,1.37,2.87,1.5,2.87,1.23,1.01,2.24,1.23,2.24
Nacional,23,27.4,44.1,8,88,720,8.0,9,5,14,6,3,4,23,3,10.9,7.7,5.6,13.3,65,186,1.13,0.62,1.75,0.75,1.37,1.36,0.69,2.06,0.97,1.66
Porto,23,25.0,54.9,8,88,720,8.0,19,16,35,18,1,1,25,1,15.8,15.0,11.9,26.9,144,299,2.37,2.0,4.37,2.25,4.25,1.97,1.49,3.46,1.87,3.36
Rio Ave,25,24.9,43.4,8,88,720,8.0,11,8,19,10,1,1,23,1,8.3,7.5,5.1,12.6,107,187,1.37,1.0,2.37,1.25,2.25,1.04,0.63,1.67,0.94,1.57
Santa Clara,22,27.0,48.5,8,88,720,8.0,6,3,9,3,3,3,23,1,9.8,7.7,5.0,12.7,91,242,0.75,0.37,1.13,0.37,0.75,1.23,0.63,1.85,0.97,1.59
Sporting CP,22,25.6,59.8,8,88,720,8.0,19,14,33,16,3,3,17,0,19.0,16.7,13.0,29.6,181,401,2.37,1.75,4.12,2.0,3.75,2.38,1.62,4.0,2.08,3.71
Tondela,25,25.6,46.6,8,88,720,8.0,4,2,6,3,1,3,23,2,10.9,8.6,6.2,14.7,114,268,0.5,0.25,0.75,0.37,0.62,1.36,0.77,2.13,1.07,1.84
Vitória,27,26.0,50.1,8,88,720,8.0,9,6,15,8,1,2,19,0,9.0,7.4,4.6,12.0,100,298,1.13,0.75,1.87,1.0,1.75,1.13,0.57,1.7,0.93,1.5
