Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Atalanta,1,7.0,11,0,0,1,0,10.0,0.31,-1.0,-0.14,51,129,39.5,203,22,54.7,44.7,54,33.3,29.3,107,3,2.8,12,1.71,17.3
vs Bologna,2,7.0,11,2,1,1,0,9.8,0.29,-1.2,-0.17,39,124,31.5,219,26,47.0,40.4,48,43.8,35.5,95,8,8.4,4,0.57,11.8
vs Cagliari,1,7.0,6,1,0,1,0,6.3,0.26,0.3,0.05,23,60,38.3,187,30,25.1,31.3,45,28.9,31.0,69,0,0.0,9,1.29,17.0
vs Como,1,7.0,9,0,1,1,0,7.9,0.23,-1.1,-0.16,29,74,39.2,197,36,28.4,32.0,57,31.6,29.6,67,2,3.0,1,0.14,9.7
vs Cremonese,2,7.0,8,1,0,3,0,7.5,0.35,-0.5,-0.08,33,72,45.8,156,26,31.4,33.6,38,60.5,44.9,63,4,6.3,8,1.14,16.7
vs Fiorentina,1,7.0,5,0,0,2,0,3.5,0.25,-1.5,-0.22,38,94,40.4,181,33,40.9,39.9,67,29.9,31.0,90,7,7.8,9,1.29,15.4
vs Genoa,1,7.0,3,0,0,0,0,6.6,0.25,3.6,0.52,55,139,39.6,245,19,42.9,37.6,54,63.0,48.4,92,10,10.9,8,1.14,13.1
vs Hellas Verona,1,7.0,2,1,0,1,0,6.9,0.17,4.9,0.7,30,72,41.7,207,49,25.1,31.2,48,41.7,37.5,91,8,8.8,3,0.43,12.1
vs Inter,2,7.0,18,0,0,3,1,13.1,0.34,-3.9,-0.55,31,100,31.0,190,30,36.3,36.1,75,41.3,36.3,126,6,4.8,8,1.14,16.0
vs Juventus,1,7.0,9,0,0,4,0,9.8,0.28,0.8,0.11,39,102,38.2,161,21,41.6,38.5,62,56.5,43.4,110,5,4.5,6,0.86,13.4
vs Lazio,1,7.0,10,1,0,0,0,8.3,0.35,-1.7,-0.24,39,77,50.6,191,22,29.3,29.7,42,50.0,41.0,69,5,7.2,12,1.71,18.7
vs Lecce,1,7.0,5,0,0,1,0,5.2,0.28,0.2,0.03,29,102,28.4,198,27,35.4,33.6,59,54.2,41.3,91,14,15.4,8,1.14,11.7
vs Milan,2,8.0,13,1,0,1,0,11.2,0.27,-1.8,-0.23,21,75,28.0,176,31,29.5,32.2,67,34.3,33.7,89,7,7.9,7,0.88,12.8
vs Napoli,2,7.0,12,2,1,2,0,12.5,0.28,0.5,0.07,33,138,23.9,192,30,57.3,42.9,56,50.0,36.4,139,15,10.8,5,0.71,9.8
vs Parma,1,7.0,3,1,0,1,0,3.4,0.18,0.4,0.05,43,119,36.1,180,25,52.2,40.8,55,45.5,33.5,92,13,14.1,1,0.14,9.9
vs Pisa,1,8.0,5,2,0,0,1,5.5,0.24,1.5,0.19,33,93,35.5,209,30,30.6,35.2,63,46.0,37.8,96,7,7.3,8,1.0,13.8
vs Roma,1,7.0,7,0,0,1,0,9.0,0.28,2.0,0.28,49,148,33.1,247,27,53.4,42.5,52,30.8,28.3,111,3,2.7,2,0.29,10.5
vs Sassuolo,2,7.0,8,1,0,1,0,8.4,0.26,0.4,0.06,21,75,28.0,185,27,36.2,32.2,34,23.5,26.3,45,3,6.7,12,1.71,17.6
vs Torino,1,7.0,6,0,0,1,0,11.0,0.35,5.0,0.72,32,86,37.2,208,27,30.3,33.1,48,47.9,40.7,95,4,4.2,5,0.71,13.8
vs Udinese,2,7.0,7,1,0,2,0,7.4,0.28,0.4,0.05,37,93,39.8,184,36,38.0,36.7,65,35.4,36.2,83,8,9.6,5,0.71,12.7
