Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Atalanta,22,7.0,111,58,46,50,15,58,125,46.4,67,63,24,39,63,174,167,7
vs Bologna,25,7.0,115,80,55,53,7,47,95,49.5,48,64,26,38,51,166,159,3
vs Cagliari,23,7.0,100,65,41,42,17,47,87,54.0,40,58,14,44,48,148,136,4
vs Como,22,7.0,138,75,59,62,17,63,109,57.8,46,86,26,60,67,205,117,5
vs Cremonese,26,7.0,95,58,41,46,8,37,73,50.7,36,59,8,51,43,138,171,3
vs Fiorentina,22,7.0,118,72,62,43,13,52,95,54.7,43,52,23,29,38,156,193,1
vs Genoa,23,7.0,113,54,38,61,14,52,109,47.7,57,73,25,48,49,162,181,2
vs Hellas Verona,25,7.0,88,47,41,36,11,43,88,48.9,45,62,19,43,46,134,225,10
vs Inter,24,7.0,84,40,39,33,12,32,69,46.4,37,66,27,39,52,136,216,10
vs Juventus,22,7.0,107,56,51,43,13,56,115,48.7,59,89,29,60,53,160,182,2
vs Lazio,24,7.0,120,69,50,45,25,57,99,57.6,42,70,16,54,65,185,135,6
vs Lecce,22,7.0,114,72,59,39,16,65,102,63.7,37,60,19,41,46,160,138,3
vs Milan,24,8.0,102,68,57,35,10,64,126,50.8,62,69,25,44,55,157,160,8
vs Napoli,24,7.0,103,71,50,38,15,44,89,49.4,45,87,35,52,61,164,200,9
vs Parma,20,7.0,104,56,57,34,13,42,64,65.6,22,55,22,33,47,151,225,4
vs Pisa,25,8.0,136,75,50,62,24,69,112,61.6,43,61,18,43,43,179,176,5
vs Roma,22,7.0,126,75,55,59,12,59,95,62.1,36,87,19,68,61,187,181,4
vs Sassuolo,25,7.0,105,63,46,43,16,47,84,56.0,37,56,16,40,41,146,132,2
vs Torino,24,7.0,96,59,46,34,16,39,81,48.1,42,60,19,41,51,147,141,3
vs Udinese,26,7.0,114,63,63,40,11,61,113,54.0,52,66,25,41,36,150,173,7
