Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Atalanta,22,7.0,110,64,49,39,22,51,96,53.1,45,66,25,41,46,156,191,5
Bologna,25,7.0,103,69,40,51,12,56,99,56.6,43,52,14,38,47,150,144,7
Cagliari,23,7.0,106,56,57,39,10,50,101,49.5,51,52,26,26,55,161,203,11
Como,22,7.0,130,78,51,56,23,52,118,44.1,66,84,30,54,47,177,173,2
Cremonese,26,7.0,97,57,49,39,9,55,93,59.1,38,74,32,42,36,133,203,6
Fiorentina,22,7.0,109,57,44,49,16,49,88,55.7,39,71,17,54,58,167,128,3
Genoa,23,7.0,132,86,63,53,16,64,96,66.7,32,74,22,52,50,182,160,2
Hellas Verona,25,7.0,133,75,68,52,13,62,107,57.9,45,90,24,66,68,201,160,2
Inter,24,7.0,99,60,41,42,16,33,71,46.5,38,58,18,40,43,142,150,3
Juventus,22,7.0,102,53,34,50,18,35,61,57.4,26,51,19,32,51,153,134,7
Lazio,24,7.0,120,66,56,51,13,56,106,52.8,50,67,14,53,72,192,139,9
Lecce,22,7.0,110,60,61,38,11,58,103,56.3,45,66,20,46,39,149,166,6
Milan,24,8.0,110,72,61,34,15,53,89,59.6,36,53,20,33,47,157,179,3
Napoli,24,7.0,82,52,32,37,13,43,83,51.8,40,49,18,31,40,122,114,4
Parma,20,7.0,102,65,48,44,10,56,106,52.8,50,84,26,58,41,143,154,1
Pisa,25,8.0,150,95,71,69,10,62,139,44.6,77,88,39,49,65,215,253,7
Roma,22,7.0,99,46,39,46,14,47,87,54.0,40,58,8,50,57,156,151,5
Sassuolo,25,7.0,105,59,47,40,18,53,99,53.5,46,82,22,60,53,158,190,3
Torino,24,7.0,95,52,49,30,16,50,87,57.5,37,60,24,36,54,149,193,8
Udinese,26,7.0,95,54,46,39,10,49,101,48.5,52,64,17,47,47,142,223,4
