Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Atalanta,22,7.0,139,19.86,89,16,11,10,10,3,6,0.86,5,0,0,1,0,0
vs Bologna,25,7.0,114,16.29,76,11,8,8,7,4,6,0.86,4,1,0,1,0,0
vs Cagliari,23,7.0,181,25.86,122,20,14,11,9,5,16,2.29,13,2,1,0,0,0
vs Como,22,7.0,138,19.71,83,20,9,11,10,5,7,1.0,4,0,0,2,0,1
vs Cremonese,26,7.0,214,30.57,164,21,5,11,8,5,18,2.57,17,0,0,0,1,0
vs Fiorentina,22,7.0,163,23.29,111,21,5,10,14,2,19,2.71,9,3,0,3,4,0
vs Genoa,23,7.0,118,16.86,81,10,10,13,2,2,12,1.71,9,1,0,2,0,0
vs Hellas Verona,25,7.0,150,21.43,99,17,13,8,12,1,17,2.43,11,2,2,1,1,0
vs Inter,24,7.0,122,17.43,92,13,7,4,5,1,15,2.14,13,1,0,0,1,0
vs Juventus,22,7.0,143,20.43,104,16,5,11,5,2,11,1.57,8,1,1,0,1,0
vs Lazio,24,7.0,175,25.0,126,13,6,17,8,5,11,1.57,5,1,2,2,1,0
vs Lecce,22,7.0,153,21.86,107,17,6,11,9,3,16,2.29,10,2,0,0,3,1
vs Milan,24,8.0,131,16.37,109,11,5,3,2,1,11,1.37,6,1,1,2,1,0
vs Napoli,24,7.0,122,17.43,89,6,9,8,5,5,11,1.57,5,0,4,2,0,0
vs Parma,20,7.0,179,25.57,135,13,6,13,8,4,12,1.71,10,0,0,2,0,0
vs Pisa,25,8.0,238,29.75,173,19,18,19,9,0,23,2.87,17,2,2,1,1,0
vs Roma,22,7.0,122,17.43,87,16,6,5,6,2,5,0.71,5,0,0,0,0,0
vs Sassuolo,25,7.0,179,25.57,132,15,12,13,7,0,12,1.71,6,1,1,2,2,0
vs Torino,24,7.0,193,27.57,140,18,3,12,13,7,18,2.57,12,2,0,2,1,1
vs Udinese,26,7.0,130,18.57,89,13,8,13,5,2,14,2.0,7,1,1,3,1,1
