Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Atalanta,22,7.0,181,25.86,138,12,8,14,4,5,15,2.14,11,1,0,1,0,2
Bologna,25,7.0,164,23.43,119,18,7,11,6,3,20,2.86,16,2,0,0,2,0
Cagliari,23,7.0,123,17.57,83,17,4,8,8,3,9,1.29,3,1,0,3,2,0
Como,22,7.0,189,27.0,144,14,13,8,6,4,18,2.57,13,1,2,0,2,0
Cremonese,26,7.0,83,11.86,54,11,5,4,8,1,15,2.14,9,3,0,1,2,0
Fiorentina,22,7.0,133,19.0,94,13,6,8,11,1,7,1.0,4,0,1,2,0,0
Genoa,23,7.0,144,20.57,94,14,8,17,8,3,5,0.71,3,0,1,1,0,0
Hellas Verona,25,7.0,161,23.0,113,15,10,13,6,4,2,0.29,0,0,0,1,1,0
Inter,24,7.0,236,33.71,171,24,11,21,6,3,29,4.14,25,2,1,1,0,0
Juventus,22,7.0,203,29.0,141,22,13,13,11,3,17,2.43,12,2,2,0,1,0
Lazio,24,7.0,132,18.86,92,13,7,8,10,2,18,2.57,13,1,0,1,2,1
Lecce,22,7.0,118,16.86,78,16,8,8,5,3,8,1.14,5,1,1,1,0,0
Milan,24,8.0,209,26.12,148,20,14,13,12,2,21,2.62,14,2,1,1,2,1
Napoli,24,7.0,203,29.0,158,9,12,14,7,3,20,2.86,11,0,2,4,3,0
Parma,20,7.0,121,17.29,70,18,5,10,13,5,4,0.57,1,1,0,2,0,0
Pisa,25,8.0,128,16.0,84,18,10,9,4,3,5,0.62,3,0,0,2,0,0
Roma,22,7.0,162,23.14,116,19,4,12,8,3,11,1.57,10,1,0,0,0,0
Sassuolo,25,7.0,121,17.29,90,8,5,8,7,3,14,2.0,10,0,1,2,1,0
Torino,24,7.0,139,19.86,104,10,9,4,7,5,11,1.57,6,1,3,1,0,0
Udinese,26,7.0,154,22.0,117,15,7,8,7,0,11,1.57,7,2,0,2,0,0
