Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atalanta,1,7,7,630,7.0,5,0.71,28,23,82.1,2,5,0,2,28.6,1,0,1,0,100.0
Bologna,2,7,7,630,7.0,5,0.71,20,15,75.0,4,1,2,3,42.9,0,0,0,0,
Cagliari,1,7,7,630,7.0,8,1.14,33,25,75.8,2,2,3,1,14.3,0,0,0,0,
Como,1,7,7,630,7.0,5,0.71,16,11,68.8,3,3,1,2,28.6,0,0,0,0,
Cremonese,2,7,7,630,7.0,9,1.29,39,30,79.5,2,4,1,2,28.6,1,1,0,0,0.0
Fiorentina,1,7,7,630,7.0,10,1.43,32,22,75.0,0,3,4,2,28.6,2,2,0,0,0.0
Genoa,1,7,7,630,7.0,9,1.29,23,14,65.2,0,3,4,2,28.6,1,1,0,0,0.0
Hellas Verona,1,7,7,630,7.0,9,1.29,24,14,62.5,0,4,3,2,28.6,1,0,1,0,100.0
Inter,2,7,7,630,7.0,8,1.14,25,17,72.0,5,0,2,3,42.9,1,1,0,0,0.0
Juventus,1,7,7,630,7.0,7,1.0,22,15,72.7,3,3,1,3,42.9,2,1,0,1,0.0
Lazio,1,7,7,630,7.0,7,1.0,38,31,81.6,2,2,3,3,42.9,0,0,0,0,
Lecce,1,7,7,630,7.0,10,1.43,31,21,74.2,1,3,3,3,42.9,2,2,0,0,0.0
Milan,2,8,8,720,8.0,6,0.75,22,16,81.8,5,2,1,4,50.0,2,2,0,0,0.0
Napoli,2,7,7,630,7.0,7,1.0,18,11,66.7,5,0,2,2,28.6,1,1,0,0,0.0
Parma,1,7,7,630,7.0,7,1.0,31,23,77.4,1,3,3,2,28.6,1,0,1,0,100.0
Pisa,1,8,8,720,8.0,12,1.5,39,27,69.2,0,4,4,2,25.0,0,0,0,0,
Roma,1,7,7,630,7.0,3,0.43,20,17,85.0,5,0,2,4,57.1,0,0,0,0,
Sassuolo,2,7,7,630,7.0,8,1.14,35,28,80.0,3,1,3,3,42.9,1,1,0,0,0.0
Torino,1,7,7,630,7.0,13,1.86,33,20,66.7,2,2,3,3,42.9,2,2,0,0,0.0
Udinese,2,7,7,630,7.0,10,1.43,24,14,58.3,2,3,2,1,14.3,0,0,0,0,
