Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atalanta,22,7.0,12,1,1,72,64,12,134,46,64,0,1,1,284,91,97,48.4
Bologna,25,7.0,13,0,0,105,104,15,124,47,69,1,0,0,257,95,97,49.5
Cagliari,23,7.0,14,0,0,108,105,13,92,55,56,1,0,0,211,77,90,46.1
Como,22,7.0,20,2,0,118,93,4,84,47,78,0,0,0,263,94,67,58.4
Cremonese,26,7.0,17,0,0,85,85,15,93,36,57,1,1,0,213,91,102,47.2
Fiorentina,22,7.0,14,0,0,103,118,16,112,58,57,0,2,0,262,87,99,46.8
Genoa,23,7.0,20,0,0,110,93,6,121,50,86,1,1,0,259,103,126,45.0
Hellas Verona,25,7.0,15,0,0,116,56,12,115,68,75,0,1,0,261,106,142,42.7
Inter,24,7.0,11,0,0,108,70,15,179,43,60,0,1,0,273,106,82,56.4
Juventus,22,7.0,11,1,0,84,85,7,137,51,53,0,2,0,262,93,92,50.3
Lazio,24,7.0,11,2,0,79,116,6,89,72,66,1,0,0,251,83,74,52.9
Lecce,22,7.0,14,0,0,85,91,8,113,39,60,0,2,0,244,113,107,51.4
Milan,24,8.0,11,1,0,79,98,13,112,47,72,2,2,0,275,82,81,50.3
Napoli,24,7.0,7,0,0,89,88,8,167,40,52,2,1,0,271,101,78,56.4
Parma,20,7.0,14,1,1,86,93,5,111,41,65,0,1,0,249,116,121,48.9
Pisa,25,8.0,13,1,0,111,89,9,125,65,95,0,0,0,312,145,121,54.5
Roma,22,7.0,12,0,0,108,119,10,139,57,46,0,0,0,310,108,113,48.9
Sassuolo,25,7.0,17,1,1,88,100,12,64,53,59,2,1,1,246,92,104,46.9
Torino,24,7.0,12,0,0,98,77,12,115,54,52,1,2,0,240,102,118,46.4
Udinese,26,7.0,16,0,0,89,80,9,120,47,54,0,0,0,231,121,95,56.0
