Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Atalanta,22,7.0,3088,3701,83.4,55543,18612,1366,1516,90.1,1386,1557,89.0,293,498,58.8,8,7.8,8.8,0.2,77,223,76,14,310
Bologna,25,7.0,2726,3380,80.7,54145,18178,956,1078,88.7,1352,1531,88.3,373,623,59.9,8,7.1,5.0,0.9,75,223,51,17,250
Cagliari,23,7.0,2066,2663,77.6,37237,14898,909,1039,87.5,885,1047,84.5,225,441,51.0,3,4.5,3.5,-1.5,52,132,28,9,158
Como,22,7.0,2904,3481,83.4,50215,17601,1355,1486,91.2,1227,1385,88.6,246,427,57.6,7,7.0,4.6,0.0,84,163,46,8,213
Cremonese,26,7.0,2237,2891,77.4,39936,14943,985,1108,88.9,938,1098,85.4,239,490,48.8,6,4.1,3.1,1.9,33,126,21,11,163
Fiorentina,22,7.0,2345,2964,79.1,42091,15284,960,1094,87.8,1097,1279,85.8,229,448,51.1,2,4.5,4.2,-2.5,46,152,35,16,199
Genoa,23,7.0,2346,3060,76.7,41681,14326,997,1162,85.8,1102,1298,84.9,204,450,45.3,2,4.9,5.2,-2.9,51,167,34,10,197
Hellas Verona,25,7.0,1856,2571,72.2,34295,14027,790,950,83.2,761,942,80.8,236,508,46.5,1,5.6,5.4,-4.6,71,172,36,10,199
Inter,24,7.0,3297,3924,84.0,60056,18518,1375,1539,89.3,1525,1684,90.6,346,537,64.4,16,11.7,9.4,4.3,107,261,90,20,361
Juventus,22,7.0,3122,3719,83.9,54356,16970,1387,1526,90.9,1364,1541,88.5,294,459,64.1,8,5.9,6.1,2.1,86,237,55,14,287
Lazio,24,7.0,2806,3374,83.2,48592,17411,1257,1408,89.3,1197,1335,89.7,274,453,60.5,8,7.2,5.5,0.8,52,231,33,6,229
Lecce,22,7.0,1981,2636,75.2,37270,13534,788,912,86.4,881,1064,82.8,256,511,50.1,4,3.4,4.8,0.6,47,175,42,13,216
Milan,24,8.0,3683,4270,86.3,65844,21014,1539,1683,91.4,1683,1851,90.9,370,547,67.6,10,9.0,9.4,1.0,99,283,69,13,317
Napoli,24,7.0,3708,4326,85.7,63734,19869,1674,1812,92.4,1771,1963,90.2,229,404,56.7,6,8.5,9.4,-2.5,83,305,67,26,368
Parma,20,7.0,1967,2641,74.5,37232,14162,803,945,85.0,892,1085,82.2,228,492,46.3,1,3.6,3.7,-2.6,51,158,27,13,156
Pisa,25,8.0,2049,2756,74.3,38982,16143,831,965,86.1,891,1085,82.1,270,550,49.1,2,4.7,4.8,-2.7,56,170,39,14,223
Roma,22,7.0,3017,3721,81.1,53483,17801,1280,1434,89.3,1332,1504,88.6,302,543,55.6,5,6.5,6.5,-1.5,72,213,55,13,278
Sassuolo,25,7.0,2284,2852,80.1,40542,14648,1019,1146,88.9,957,1079,88.7,245,472,51.9,6,4.1,3.2,1.9,49,149,30,9,186
Torino,24,7.0,2113,2698,78.3,40604,15430,814,928,87.7,1012,1154,87.7,253,495,51.1,4,5.4,4.8,-1.4,63,170,54,18,208
Udinese,26,7.0,2391,2958,80.8,46031,16131,884,1004,88.0,1148,1299,88.4,306,501,61.1,4,5.0,4.8,-1.0,70,214,48,10,239
