Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Atalanta,22,26.7,7,630,90,100,7.0,77,82,46,30,20,45,1.57,11,5,6,0.86,10.6,6.1,4.5,0.65
Bologna,25,27.6,7,630,90,100,7.0,77,79,42,35,24,61,1.86,11,5,6,0.86,9.4,5.9,3.5,0.49
Cagliari,23,25.8,7,630,90,100,7.0,77,79,42,35,24,59,1.14,6,8,-2,-0.29,6.4,11.9,-5.5,-0.79
Como,22,25.9,7,630,90,100,7.0,77,79,40,35,24,52,1.71,9,5,4,0.57,9.1,6.7,2.4,0.35
Cremonese,26,28.5,7,630,90,100,7.0,77,79,43,34,25,53,1.43,8,9,-1,-0.14,5.4,11.0,-5.6,-0.79
Fiorentina,22,27.5,7,630,90,100,7.0,77,80,44,33,23,61,0.43,5,10,-5,-0.71,7.7,10.2,-2.4,-0.35
Genoa,23,26.3,7,630,90,100,7.0,77,80,44,33,23,66,0.43,3,9,-6,-0.86,7.9,7.2,0.8,0.11
Hellas Verona,25,26.8,7,630,90,100,7.0,77,81,43,35,19,62,0.57,2,9,-7,-1.0,8.0,8.7,-0.7,-0.1
Inter,24,29.5,7,630,90,100,7.0,77,81,43,34,21,59,2.14,18,8,10,1.43,13.1,5.7,7.4,1.06
Juventus,22,25.9,7,630,90,100,7.0,77,81,43,33,20,39,1.71,9,7,2,0.29,7.9,7.5,0.4,0.05
Lazio,24,28.3,7,630,90,100,7.0,77,79,42,34,25,45,1.14,10,7,3,0.43,8.8,9.9,-1.1,-0.15
Lecce,22,25.9,7,630,90,100,7.0,77,81,43,34,22,59,0.86,5,10,-5,-0.71,5.1,9.0,-4.0,-0.56
Milan,24,27.7,8,720,90,100,8.0,88,83,58,29,21,43,2.13,13,6,7,0.87,12.2,7.2,5.0,0.62
Napoli,24,29.6,7,630,90,100,7.0,77,82,44,33,18,58,2.14,12,7,5,0.71,12.4,8.2,4.2,0.59
Parma,20,24.4,7,630,90,100,7.0,77,82,46,31,18,59,0.86,3,7,-4,-0.57,5.9,7.7,-1.8,-0.26
Pisa,25,27.3,8,720,90,100,8.0,88,79,49,38,25,75,0.5,5,12,-7,-0.87,6.9,12.4,-5.5,-0.69
Roma,22,26.7,7,630,90,100,7.0,77,81,43,34,21,51,2.14,7,3,4,0.57,8.2,5.8,2.5,0.35
Sassuolo,25,26.5,7,630,90,100,7.0,77,81,42,34,20,68,1.43,8,8,0,0.0,7.1,9.5,-2.3,-0.33
Torino,24,27.4,7,630,90,100,7.0,77,81,42,35,20,59,1.14,6,13,-7,-1.0,8.5,10.7,-2.2,-0.31
Udinese,26,26.2,7,630,90,100,7.0,77,80,44,33,23,64,1.29,7,10,-3,-0.43,8.0,7.5,0.5,0.07
