Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Atalanta,22,7.0,4,80,27,33.8,11.43,3.86,0.05,0.15,19.9,4,0,1,6.1,5.3,0.07,-2.1,-1.3
vs Bologna,25,7.0,5,66,20,30.3,9.43,2.86,0.08,0.25,17.8,3,0,0,5.9,5.9,0.09,-0.9,-0.9
vs Cagliari,23,7.0,8,105,33,31.4,15.0,4.71,0.08,0.24,16.1,2,0,0,11.9,11.9,0.12,-3.9,-3.9
vs Como,22,7.0,5,80,16,20.0,11.43,2.29,0.06,0.31,18.6,4,0,0,6.7,6.7,0.09,-1.7,-1.7
vs Cremonese,26,7.0,9,116,38,32.8,16.57,5.43,0.07,0.21,17.6,4,1,1,11.0,10.2,0.09,-2.0,-2.2
vs Fiorentina,22,7.0,10,85,30,35.3,12.14,4.29,0.09,0.27,16.3,2,2,2,10.2,9.1,0.11,-0.2,-1.1
vs Genoa,23,7.0,9,68,22,32.4,9.71,3.14,0.12,0.36,15.2,0,1,1,7.2,6.4,0.1,1.8,1.6
vs Hellas Verona,25,7.0,9,79,23,29.1,11.29,3.29,0.11,0.39,18.4,3,0,1,8.7,7.8,0.1,0.3,1.2
vs Inter,24,7.0,8,66,24,36.4,9.43,3.43,0.11,0.29,18.6,2,1,1,5.7,5.0,0.08,2.3,2.0
vs Juventus,22,7.0,7,85,21,24.7,12.14,3.0,0.07,0.29,19.7,2,1,2,7.5,5.9,0.07,-0.5,0.1
vs Lazio,24,7.0,7,103,38,36.9,14.71,5.43,0.07,0.18,16.6,3,0,0,9.9,9.9,0.1,-2.9,-2.9
vs Lecce,22,7.0,10,84,29,34.5,12.0,4.14,0.1,0.28,16.9,3,2,2,9.0,7.5,0.09,1.0,0.5
vs Milan,24,8.0,6,68,20,29.4,8.5,2.5,0.06,0.2,19.8,0,2,2,7.2,6.2,0.09,-1.2,-2.2
vs Napoli,24,7.0,7,74,17,23.0,10.57,2.43,0.08,0.35,19.0,2,1,1,8.2,7.6,0.11,-1.2,-1.6
vs Parma,20,7.0,7,95,30,31.6,13.57,4.29,0.07,0.23,18.6,3,0,1,7.7,6.9,0.08,-0.7,0.1
vs Pisa,25,8.0,12,135,39,28.9,16.88,4.87,0.09,0.31,17.5,4,0,0,12.4,12.4,0.09,-0.4,-0.4
vs Roma,22,7.0,3,70,20,28.6,10.0,2.86,0.04,0.15,20.1,2,0,0,5.8,5.8,0.08,-2.8,-2.8
vs Sassuolo,25,7.0,7,96,34,35.4,13.71,4.86,0.06,0.18,17.6,4,1,1,9.5,8.7,0.1,-2.5,-2.7
vs Torino,24,7.0,13,109,31,28.4,15.57,4.43,0.1,0.35,18.0,6,2,2,10.7,9.1,0.08,2.3,1.9
vs Udinese,26,7.0,10,80,24,30.0,11.43,3.43,0.13,0.42,16.1,2,0,0,7.5,7.5,0.1,2.5,2.5
