Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,22,7.0,11,104,33,31.7,14.86,4.71,0.11,0.33,16.6,2,0,0,10.6,10.6,0.1,0.4,0.4
Bologna,25,7.0,11,90,27,30.0,12.86,3.86,0.1,0.33,18.3,3,2,2,9.4,7.8,0.09,1.6,1.2
Cagliari,23,7.0,6,68,21,30.9,9.71,3.0,0.07,0.24,18.2,4,1,1,6.4,5.6,0.09,-0.4,-0.6
Como,22,7.0,9,102,35,34.3,14.57,5.0,0.09,0.26,18.3,2,0,0,9.1,9.1,0.09,-0.1,-0.1
Cremonese,26,7.0,8,46,18,39.1,6.57,2.57,0.15,0.39,18.4,2,1,1,5.4,4.6,0.11,2.6,2.4
Fiorentina,22,7.0,5,77,14,18.2,11.0,2.0,0.06,0.36,18.8,4,0,0,7.7,7.7,0.1,-2.7,-2.7
Genoa,23,7.0,3,79,23,29.1,11.29,3.29,0.04,0.13,18.5,4,0,1,7.9,7.1,0.1,-4.9,-4.1
Hellas Verona,25,7.0,2,98,34,34.7,14.0,4.86,0.01,0.03,20.0,3,1,1,8.0,7.2,0.08,-6.0,-6.2
Inter,24,7.0,17,133,39,29.3,19.0,5.57,0.13,0.44,16.2,4,0,0,13.1,13.1,0.1,3.9,3.9
Juventus,22,7.0,9,111,35,31.5,15.86,5.0,0.08,0.26,18.3,4,0,0,7.9,7.9,0.07,1.1,1.1
Lazio,24,7.0,10,71,21,29.6,10.14,3.0,0.13,0.43,18.1,3,1,1,8.8,8.0,0.11,1.2,1.0
Lecce,22,7.0,5,67,19,28.4,9.57,2.71,0.07,0.26,17.5,1,0,0,5.1,5.1,0.08,-0.1,-0.1
Milan,24,8.0,13,116,37,31.9,14.5,4.62,0.1,0.32,16.9,1,1,2,12.2,10.7,0.09,0.8,1.3
Napoli,24,7.0,12,116,39,33.6,16.57,5.57,0.09,0.26,16.5,4,2,2,12.4,11.8,0.1,-0.4,-1.8
Parma,20,7.0,3,70,15,21.4,10.0,2.14,0.03,0.13,17.7,3,1,1,5.9,5.1,0.08,-2.9,-3.1
Pisa,25,8.0,4,71,14,19.7,8.87,1.75,0.03,0.14,17.8,0,2,2,6.9,5.5,0.08,-2.9,-3.5
Roma,22,7.0,7,92,33,35.9,13.14,4.71,0.08,0.21,16.5,5,0,0,8.2,8.2,0.09,-1.2,-1.2
Sassuolo,25,7.0,8,64,24,37.5,9.14,3.43,0.11,0.29,18.4,3,1,2,7.1,5.4,0.08,0.9,1.6
Torino,24,7.0,6,80,30,37.5,11.43,4.29,0.08,0.2,18.5,1,0,1,8.5,7.7,0.1,-2.5,-1.7
Udinese,26,7.0,7,89,25,28.1,12.71,3.57,0.07,0.24,19.4,2,1,1,8.0,7.3,0.09,-1.0,-1.3
