Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Atalanta,22,26.7,54.1,7,77,630,7.0,11,8,19,11,0,0,12,1,10.6,10.6,7.8,18.5,138,310,1.57,1.14,2.71,1.57,2.71,1.52,1.12,2.64,1.52,2.64
Bologna,25,27.6,56.9,7,77,630,7.0,11,8,19,9,2,2,13,0,9.4,7.8,7.1,14.9,95,250,1.57,1.14,2.71,1.29,2.43,1.34,1.01,2.35,1.12,2.13
Cagliari,23,25.8,43.0,7,77,630,7.0,6,3,9,5,1,1,14,0,6.4,5.6,4.5,10.1,84,158,0.86,0.43,1.29,0.71,1.14,0.91,0.64,1.55,0.8,1.44
Como,22,25.9,55.9,7,77,630,7.0,9,7,16,9,0,0,20,2,9.1,9.1,7.0,16.2,117,213,1.29,1.0,2.29,1.29,2.29,1.31,1.0,2.31,1.31,2.31
Cremonese,26,28.5,44.9,7,77,630,7.0,8,6,14,7,1,1,17,0,5.4,4.6,4.1,8.7,67,163,1.14,0.86,2.0,1.0,1.86,0.77,0.59,1.36,0.66,1.25
Fiorentina,22,27.5,50.1,7,77,630,7.0,5,2,7,5,0,0,14,0,7.7,7.7,4.5,12.3,92,199,0.71,0.29,1.0,0.71,1.0,1.11,0.65,1.75,1.11,1.75
Genoa,23,26.3,50.6,7,77,630,7.0,3,2,5,3,0,1,20,0,7.9,7.1,4.9,12.1,96,197,0.43,0.29,0.71,0.43,0.71,1.13,0.7,1.84,1.02,1.72
Hellas Verona,25,26.8,40.9,7,77,630,7.0,2,1,3,1,1,1,15,0,8.0,7.2,5.6,12.8,94,199,0.29,0.14,0.43,0.14,0.29,1.14,0.8,1.95,1.03,1.83
Inter,24,29.5,59.1,7,77,630,7.0,17,16,33,17,0,0,11,0,13.1,13.1,11.7,24.8,135,361,2.43,2.29,4.71,2.43,4.71,1.87,1.68,3.55,1.87,3.55
Juventus,22,25.9,57.9,7,77,630,7.0,9,8,17,9,0,0,11,1,7.9,7.9,5.9,13.7,156,287,1.29,1.14,2.43,1.29,2.43,1.13,0.84,1.96,1.13,1.96
Lazio,24,28.3,48.6,7,77,630,7.0,10,8,18,9,1,1,11,2,8.8,8.0,7.2,15.2,83,229,1.43,1.14,2.57,1.29,2.43,1.26,1.03,2.29,1.15,2.17
Lecce,22,25.9,44.0,7,77,630,7.0,5,4,9,5,0,0,14,0,5.1,5.1,3.4,8.4,90,216,0.71,0.57,1.29,0.71,1.29,0.73,0.48,1.21,0.73,1.21
Milan,24,27.7,53.5,8,88,720,8.0,13,10,23,12,1,2,11,1,12.2,10.7,9.0,19.7,160,317,1.62,1.25,2.87,1.5,2.75,1.53,1.12,2.65,1.34,2.46
Napoli,24,29.6,62.7,7,77,630,7.0,12,6,18,10,2,2,7,0,12.4,11.8,8.5,20.2,164,368,1.71,0.86,2.57,1.43,2.29,1.77,1.21,2.97,1.68,2.89
Parma,20,24.4,44.6,7,77,630,7.0,3,1,4,2,1,1,14,1,5.9,5.1,3.6,8.7,79,156,0.43,0.14,0.57,0.29,0.43,0.84,0.52,1.36,0.73,1.25
Pisa,25,27.3,39.1,8,88,720,8.0,4,2,6,2,2,2,13,1,6.9,5.5,4.7,10.2,97,223,0.5,0.25,0.75,0.25,0.5,0.86,0.59,1.45,0.69,1.28
Roma,22,26.7,58.9,7,77,630,7.0,7,5,12,7,0,0,12,0,8.2,8.2,6.5,14.8,125,278,1.0,0.71,1.71,1.0,1.71,1.18,0.93,2.11,1.18,2.11
Sassuolo,25,26.5,44.3,7,77,630,7.0,8,6,14,7,1,2,17,1,7.1,5.4,4.1,9.5,84,186,1.14,0.86,2.0,1.0,1.86,1.02,0.59,1.61,0.77,1.36
Torino,24,27.4,42.6,7,77,630,7.0,6,4,10,6,0,1,12,0,8.5,7.7,5.4,13.1,79,208,0.86,0.57,1.43,0.86,1.43,1.21,0.77,1.98,1.1,1.86
Udinese,26,26.2,49.6,7,77,630,7.0,7,4,11,6,1,1,16,0,8.0,7.3,5.0,12.3,122,239,1.0,0.57,1.57,0.86,1.43,1.15,0.71,1.86,1.04,1.76
