Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Avellino,1,8.0,11,0,0,0,1,9.5,0.36,-0.5,-0.07,27,71,38.0,148,25,36.5,35.1,43,39.5,32.8,84,11,13.1,9,1.13,13.9
vs Bari,1,8.0,8,1,0,2,0,6.9,0.27,-1.1,-0.13,39,108,36.1,210,23,40.0,34.9,63,38.1,33.9,107,10,9.3,12,1.5,15.1
vs Carrarese,1,8.0,13,3,0,2,0,12.9,0.31,-0.1,-0.02,43,120,35.8,221,33,46.2,37.3,56,32.1,29.8,117,6,5.1,9,1.13,13.8
vs Catanzaro,1,8.0,7,0,1,2,0,8.0,0.27,1.0,0.13,38,126,30.2,187,36,43.9,38.0,68,64.7,45.0,134,7,5.2,2,0.25,9.7
vs Cesena,1,8.0,13,1,1,3,0,12.3,0.42,-0.7,-0.08,23,98,23.5,207,25,31.9,32.6,61,52.5,39.9,118,4,3.4,4,0.5,10.6
vs Empoli,1,9.0,12,0,0,3,0,11.0,0.31,-1.0,-0.11,54,157,34.4,282,25,46.1,38.0,51,52.9,42.5,131,11,8.4,13,1.44,14.0
vs Frosinone,1,8.0,13,1,0,3,0,11.8,0.28,-1.2,-0.15,39,105,37.1,186,23,41.9,35.0,75,36.0,31.9,100,8,8.0,5,0.63,13.0
vs Juve Stabia,1,8.0,10,1,0,6,0,10.4,0.38,0.4,0.05,50,125,40.0,249,31,38.2,35.3,63,47.6,36.4,120,10,8.3,10,1.25,12.8
vs Mantova,1,8.0,6,2,0,0,0,12.1,0.21,6.1,0.76,47,129,36.4,221,23,45.7,40.1,53,52.8,39.9,111,6,5.4,9,1.13,14.9
vs Modena,1,9.0,16,5,0,4,2,15.3,0.26,1.3,0.15,52,133,39.1,291,35,35.1,33.4,79,39.2,32.0,171,7,4.1,6,0.67,13.5
vs Monza,1,8.0,8,0,0,3,0,9.4,0.37,1.4,0.18,42,116,36.2,233,35,37.8,33.3,77,36.4,31.2,131,7,5.3,7,0.88,13.9
vs Padova,1,8.0,8,1,0,2,0,9.8,0.29,1.8,0.23,30,76,39.5,198,27,32.8,34.4,55,20.0,24.4,112,3,2.7,8,1.0,15.6
vs Palermo,2,8.0,10,0,0,2,0,12.7,0.36,2.7,0.34,32,124,25.8,232,45,45.3,38.1,61,31.1,30.0,147,8,5.4,1,0.13,7.9
vs Pescara,1,8.0,13,0,0,0,1,11.0,0.34,-1.0,-0.13,48,131,36.6,236,26,44.1,36.4,55,49.1,36.9,92,7,7.6,3,0.38,12.3
vs Reggiana,1,8.0,13,1,0,3,0,7.3,0.22,-5.7,-0.72,25,79,31.6,195,33,34.4,32.5,39,30.8,28.5,105,10,9.5,7,0.88,13.5
vs Sampdoria,2,8.0,8,1,0,0,0,9.8,0.24,1.8,0.23,42,127,33.1,228,36,40.4,35.7,66,53.0,39.2,125,8,6.4,5,0.63,11.4
vs Spezia,2,8.0,5,1,0,1,1,7.4,0.22,3.4,0.43,31,99,31.3,212,36,38.7,35.4,51,33.3,32.9,137,7,5.1,4,0.5,11.8
vs Südtirol,2,8.0,12,1,0,0,0,12.7,0.36,0.7,0.08,37,115,32.2,245,39,33.1,32.6,73,46.6,37.3,128,7,5.5,9,1.13,15.4
vs Venezia,1,8.0,11,3,0,1,0,13.1,0.28,2.1,0.26,45,145,31.0,222,21,56.8,42.5,54,35.2,30.4,84,1,1.2,10,1.25,14.9
vs Virtus Entella,2,8.0,9,1,0,1,0,10.2,0.33,1.2,0.15,37,87,42.5,191,28,33.0,32.0,60,40.0,33.7,141,9,6.4,2,0.25,9.7
