Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Avellino,1,8,8,720,8.0,11,1.37,26,16,57.7,2,3,3,3,37.5,0,0,0,0,
vs Bari,1,8,8,720,8.0,8,1.0,23,15,69.6,4,3,1,2,25.0,1,1,0,0,0.0
vs Carrarese,1,8,8,720,8.0,13,1.62,33,20,69.7,1,5,2,2,25.0,3,3,0,0,0.0
vs Catanzaro,1,8,8,720,8.0,7,0.87,27,19,74.1,2,6,0,3,37.5,1,0,1,0,100.0
vs Cesena,1,8,8,720,8.0,13,1.62,29,16,58.6,2,2,4,0,0.0,1,1,0,0,0.0
vs Empoli,1,9,9,810,9.0,12,1.33,36,24,66.7,3,4,2,1,11.1,0,0,0,0,
vs Frosinone,1,8,8,720,8.0,13,1.62,40,27,70.0,2,2,4,3,37.5,1,1,0,0,0.0
vs Juve Stabia,1,8,8,720,8.0,10,1.25,26,16,65.4,1,4,3,3,37.5,1,1,0,0,0.0
vs Mantova,1,8,8,720,8.0,6,0.75,51,45,92.2,5,2,1,3,37.5,4,2,0,2,0.0
vs Modena,1,9,9,810,9.0,16,1.78,42,28,73.8,0,3,6,1,11.1,6,5,0,1,0.0
vs Monza,1,8,8,720,8.0,8,1.0,26,18,69.2,2,2,4,1,12.5,0,0,0,0,
vs Padova,1,8,8,720,8.0,8,1.0,34,26,79.4,3,2,3,2,25.0,1,1,0,0,0.0
vs Palermo,2,8,8,720,8.0,10,1.25,36,26,72.2,0,4,4,2,25.0,0,0,0,0,
vs Pescara,1,8,8,720,8.0,13,1.62,32,20,59.4,4,3,1,0,0.0,0,0,0,0,
vs Reggiana,1,8,8,720,8.0,13,1.62,30,17,60.0,2,3,3,1,12.5,1,1,0,0,0.0
vs Sampdoria,2,8,8,720,8.0,8,1.0,34,25,79.4,5,2,1,3,37.5,2,1,1,0,50.0
vs Spezia,2,8,8,720,8.0,5,0.62,26,21,84.6,5,3,0,3,37.5,2,1,1,0,50.0
vs Südtirol,2,8,8,720,8.0,12,1.5,33,21,66.7,2,4,2,1,12.5,1,1,0,0,0.0
vs Venezia,1,8,8,720,8.0,11,1.37,35,23,77.1,1,4,3,2,25.0,4,3,1,0,25.0
vs Virtus Entella,2,8,8,720,8.0,9,1.13,29,20,72.4,3,3,2,2,25.0,1,1,0,0,0.0
