Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Avellino,24,8.0,15,1,0,136,108,8,215,51,53,1,0,1,281,131,102,56.2
vs Bari,24,8.0,19,1,0,130,104,19,157,55,73,1,1,0,320,117,86,57.6
vs Carrarese,24,8.0,29,3,2,129,123,16,147,50,72,0,3,0,293,144,143,50.2
vs Catanzaro,22,8.0,21,2,1,141,88,22,127,59,68,1,1,0,269,125,131,48.8
vs Cesena,21,8.0,17,2,0,119,115,7,122,64,68,1,1,0,293,136,128,51.5
vs Empoli,24,9.0,18,1,0,143,145,9,178,52,73,2,0,0,288,156,156,50.0
vs Frosinone,24,8.0,15,0,0,139,134,8,165,47,60,4,1,0,283,122,108,53.0
vs Juve Stabia,23,8.0,11,2,0,103,144,11,165,62,74,0,1,0,250,135,125,51.9
vs Mantova,23,8.0,22,0,0,156,104,15,144,58,75,0,4,0,278,88,75,54.0
vs Modena,20,9.0,20,1,1,134,137,6,132,46,68,1,6,2,288,165,181,47.7
vs Monza,22,8.0,15,1,0,110,133,11,120,55,65,1,0,0,279,120,109,52.4
vs Padova,20,8.0,19,1,1,121,118,12,198,50,51,2,1,0,294,131,148,47.0
vs Palermo,22,8.0,15,0,0,114,111,14,163,62,55,0,0,0,273,154,171,47.4
vs Pescara,29,8.0,18,0,0,130,111,20,159,68,82,2,0,1,304,116,128,47.5
vs Reggiana,25,8.0,13,5,0,115,101,3,179,47,72,0,1,0,284,133,105,55.9
vs Sampdoria,24,8.0,15,2,0,120,125,8,132,55,62,1,2,0,264,171,183,48.3
vs Spezia,22,8.0,24,0,0,151,121,9,144,66,58,2,2,1,267,141,145,49.3
vs Südtirol,24,8.0,12,0,0,109,139,9,155,50,70,0,1,0,242,177,201,46.8
vs Venezia,24,8.0,21,2,1,141,114,15,156,36,58,0,4,0,264,105,125,45.7
vs Virtus Entella,22,8.0,8,0,0,95,131,13,168,53,58,3,1,0,275,108,125,46.4
