Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Avellino,24,8.0,19,3,2,112,132,9,120,61,68,0,1,0,267,102,131,43.8
Bari,24,8.0,14,1,0,108,119,7,135,41,64,1,2,0,279,86,117,42.4
Carrarese,24,8.0,18,0,0,127,124,3,155,63,80,2,0,1,284,143,144,49.8
Catanzaro,22,8.0,16,0,0,96,137,8,165,53,65,1,1,0,262,131,125,51.2
Cesena,21,8.0,16,1,0,121,112,13,148,56,67,1,1,0,300,128,136,48.5
Empoli,24,9.0,20,2,0,156,141,5,190,51,87,0,3,0,278,156,156,50.0
Frosinone,24,8.0,20,2,0,141,133,12,130,46,62,0,4,0,278,108,122,47.0
Juve Stabia,23,8.0,26,2,1,153,100,16,155,37,59,1,1,0,271,125,135,48.1
Mantova,23,8.0,19,0,0,107,150,8,146,45,40,3,1,2,253,75,88,46.0
Modena,20,9.0,22,0,0,143,128,21,215,77,76,3,1,0,346,181,165,52.3
Monza,22,8.0,16,1,0,137,105,15,161,44,67,0,1,0,303,109,120,47.6
Padova,20,8.0,16,2,1,121,113,15,138,75,77,1,2,0,277,148,131,53.0
Palermo,22,8.0,15,1,1,123,105,9,187,58,60,0,1,2,266,171,154,52.6
Pescara,29,8.0,13,1,0,119,125,9,123,44,70,0,4,0,251,128,116,52.5
Reggiana,25,8.0,13,0,0,107,110,14,140,58,80,1,0,0,269,105,133,44.1
Sampdoria,24,8.0,16,1,0,133,111,18,163,58,69,1,1,0,277,183,171,51.7
Spezia,22,8.0,15,3,0,129,140,13,186,61,54,1,2,0,262,145,141,50.7
Südtirol,24,8.0,16,1,0,145,99,12,165,56,69,1,1,0,272,201,177,53.2
Venezia,24,8.0,13,2,0,122,131,12,120,51,44,4,0,0,274,125,105,54.3
Virtus Entella,22,8.0,24,1,1,136,91,16,184,51,57,1,3,0,320,125,108,53.6
