Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Avellino,24,8.0,3797,3414,375,116,3,24,215,147,50,15,29,1,3069,8,89
vs Bari,24,8.0,3497,3125,353,108,6,27,157,130,36,8,16,0,2757,19,56
vs Carrarese,24,8.0,3630,3230,384,122,2,11,147,147,38,19,12,0,2889,16,65
vs Catanzaro,22,8.0,2824,2440,362,102,2,22,127,148,29,14,9,0,2069,22,56
vs Cesena,21,8.0,3770,3392,371,128,0,13,122,139,22,9,9,0,3007,7,44
vs Empoli,24,9.0,3691,3229,453,154,10,13,178,181,46,13,19,0,2833,9,74
vs Frosinone,24,8.0,3377,2944,425,145,6,12,165,153,31,9,19,0,2655,8,65
vs Juve Stabia,23,8.0,3191,2752,428,164,5,12,165,151,32,12,17,0,2441,11,94
vs Mantova,23,8.0,2622,2283,324,110,8,17,144,98,49,15,28,1,2024,15,61
vs Modena,20,9.0,3630,3174,450,161,5,18,132,159,27,8,13,0,2790,6,74
vs Monza,22,8.0,3410,2998,401,146,4,17,120,140,22,9,9,1,2713,11,72
vs Padova,20,8.0,3899,3484,403,128,3,19,198,159,45,16,15,0,3110,12,95
vs Palermo,22,8.0,3550,3154,382,128,7,16,163,143,32,14,11,0,2764,14,57
vs Pescara,29,8.0,3416,3002,394,121,5,16,159,160,37,13,18,0,2645,20,59
vs Reggiana,25,8.0,3694,3305,386,118,12,4,179,167,42,12,27,0,2975,3,72
vs Sampdoria,24,8.0,3360,2958,394,142,8,7,132,143,27,11,12,0,2533,8,65
vs Spezia,22,8.0,3758,3371,378,137,5,21,144,146,31,14,8,0,2991,9,66
vs Südtirol,24,8.0,4149,3665,475,151,5,21,155,196,35,12,20,0,3274,9,80
vs Venezia,24,8.0,2712,2329,368,133,5,9,156,125,37,7,23,1,1986,15,75
vs Virtus Entella,22,8.0,3786,3351,422,143,2,16,168,164,39,19,15,0,3045,13,52
