Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Avellino,24,8.0,3456,3065,382,141,6,16,120,123,22,7,10,0,2781,9,68
Bari,24,8.0,3587,3193,387,146,1,15,135,132,22,9,8,1,2874,7,62
Carrarese,24,8.0,3324,2896,425,137,3,27,155,174,40,11,16,0,2575,3,77
Catanzaro,22,8.0,4283,3872,403,154,8,12,165,133,38,19,12,0,3530,8,81
Cesena,21,8.0,3562,3150,399,123,10,8,148,168,31,20,6,0,2778,13,60
Empoli,24,9.0,3484,3037,442,149,11,13,190,168,38,15,18,0,2633,5,97
Frosinone,24,8.0,2922,2505,405,144,2,15,130,140,41,8,27,0,2215,12,76
Juve Stabia,23,8.0,3741,3353,372,111,8,13,155,161,37,22,11,0,3003,16,63
Mantova,23,8.0,4520,4083,429,162,6,18,146,148,35,10,21,1,3940,8,77
Modena,20,9.0,3839,3416,402,127,8,21,215,166,45,19,18,0,2960,21,81
Monza,22,8.0,3702,3331,356,119,6,23,161,138,38,15,16,0,2979,15,70
Padova,20,8.0,3460,3076,369,125,9,19,138,124,35,2,24,0,2697,15,71
Palermo,22,8.0,3202,2793,400,123,5,13,187,169,37,11,19,0,2344,9,58
Pescara,29,8.0,3458,3036,413,146,4,15,123,152,37,12,21,1,2747,9,65
Reggiana,25,8.0,3369,2975,380,112,4,21,140,140,27,6,9,0,2648,14,63
Sampdoria,24,8.0,3206,2789,399,120,1,16,163,168,29,14,11,0,2338,18,56
Spezia,22,8.0,3340,2940,387,152,1,21,186,126,39,12,23,1,2526,13,50
Südtirol,24,8.0,2291,1845,434,114,0,2,165,198,34,12,21,0,1367,12,62
Venezia,24,8.0,3982,3599,371,150,7,11,120,116,33,12,11,0,3331,12,58
Virtus Entella,22,8.0,3035,2646,373,102,3,16,184,152,49,13,27,0,2304,16,76
