Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Avellino,24,27.6,8,720,90,100,8.0,88,79,46,40,23,56,1.5,11,11,0,0.0,8.5,7.7,0.7,0.09
Bari,24,27.4,8,720,90,100,8.0,88,79,50,37,25,59,0.75,8,15,-7,-0.87,8.4,11.6,-3.2,-0.4
Carrarese,24,26.3,8,720,90,100,8.0,88,80,48,40,21,56,1.38,13,9,4,0.5,10.0,7.7,2.3,0.29
Catanzaro,22,27.1,8,720,90,100,8.0,88,80,52,36,25,60,0.75,7,9,-2,-0.25,8.2,10.0,-1.9,-0.23
Cesena,21,26.7,8,720,90,100,8.0,88,83,52,36,18,58,1.75,13,11,2,0.25,16.3,8.8,7.5,0.94
Empoli,24,24.7,9,810,90,100,9.0,99,78,53,44,25,64,1.11,12,16,-4,-0.44,10.6,12.1,-1.5,-0.17
Frosinone,24,23.9,8,720,90,100,8.0,88,78,48,39,25,56,1.75,13,8,5,0.62,11.9,13.8,-1.8,-0.23
Juve Stabia,23,25.6,8,720,90,100,8.0,88,78,48,39,25,51,1.63,10,8,2,0.25,9.0,7.7,1.2,0.15
Mantova,23,26.3,8,720,90,100,8.0,88,79,49,39,24,57,0.63,6,14,-8,-1.0,12.6,12.0,0.6,0.07
Modena,20,28.1,9,810,90,100,9.0,99,80,54,45,22,63,2.33,16,5,11,1.22,16.3,7.0,9.4,1.04
Monza,22,28.1,8,720,90,100,8.0,88,80,48,39,21,56,1.75,8,6,2,0.25,11.0,6.6,4.4,0.55
Padova,20,29.1,8,720,90,100,8.0,88,82,52,34,18,58,1.38,8,9,-1,-0.12,7.9,11.0,-3.2,-0.39
Palermo,22,28.8,8,720,90,100,8.0,88,79,48,40,23,46,2.0,10,4,6,0.75,9.4,7.1,2.3,0.29
Pescara,29,25.9,8,720,90,100,8.0,88,80,48,40,23,56,0.75,13,16,-3,-0.37,6.1,17.1,-11.1,-1.38
Reggiana,25,25.4,8,720,90,100,8.0,88,81,49,39,21,57,1.5,13,11,2,0.25,6.5,11.9,-5.4,-0.68
Sampdoria,24,27.4,8,720,90,100,8.0,88,80,48,39,22,57,0.63,8,13,-5,-0.62,8.7,9.9,-1.3,-0.16
Spezia,22,26.4,8,720,90,100,8.0,88,78,47,38,24,58,0.38,5,13,-8,-1.0,7.3,9.9,-2.6,-0.33
Südtirol,24,27.0,8,720,90,100,8.0,88,80,47,40,21,49,1.25,12,11,1,0.12,10.3,10.6,-0.4,-0.05
Venezia,24,25.1,8,720,90,100,8.0,88,80,47,39,21,55,1.63,11,6,5,0.62,11.7,7.9,3.8,0.47
Virtus Entella,22,28.0,8,720,90,100,8.0,88,83,48,39,14,57,1.13,9,11,-2,-0.25,10.4,10.3,0.1,0.01
