Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Avellino,24,52.9,8.0,4628,339,1150,2183,1337,210,4627,129,55,42.6,60,46.5,2601,14879,8154,163,112,37,112,73,3038,375
vs Bari,24,49.1,8.0,4358,419,1332,2007,1072,191,4356,115,52,45.2,45,39.1,2345,12450,6479,135,92,35,99,59,2724,268
vs Carrarese,24,52.0,8.0,4491,486,1548,2071,945,137,4491,132,64,48.5,53,40.2,2595,13951,7197,127,96,26,116,60,2866,226
vs Catanzaro,22,39.4,8.0,3708,483,1388,1484,874,147,3707,110,44,40.0,59,53.6,1747,9546,4640,89,73,27,119,42,2045,211
vs Cesena,21,51.5,8.0,4692,422,1524,2221,1001,146,4691,115,44,38.3,54,47.0,2659,14090,6894,123,87,35,144,65,2976,255
vs Empoli,24,51.1,9.0,4723,511,1471,1971,1331,198,4720,148,59,39.9,72,48.6,2366,13314,6639,141,114,29,125,69,2797,248
vs Frosinone,24,53.3,8.0,4270,471,1405,1835,1070,198,4266,84,32,38.1,40,47.6,2213,13101,7340,137,93,30,117,55,2620,292
vs Juve Stabia,23,45.9,8.0,4083,509,1522,1655,939,135,4082,109,48,44.0,48,44.0,2048,11080,5736,96,57,28,151,44,2422,232
vs Mantova,23,36.9,8.0,3445,467,1298,1272,918,180,3444,94,42,44.7,33,35.1,1800,9926,4627,106,69,31,96,46,2003,208
vs Modena,20,48.4,9.0,4668,698,1951,1910,851,126,4667,155,64,41.3,80,51.6,2294,11830,5973,106,69,25,119,62,2762,243
vs Monza,22,48.3,8.0,4231,554,1689,1808,783,110,4230,107,44,41.1,43,40.2,2285,12143,5811,111,77,19,102,66,2688,215
vs Padova,20,52.6,8.0,4759,412,1331,2235,1232,161,4757,140,58,41.4,65,46.4,2448,14144,7389,149,91,30,126,73,3094,307
vs Palermo,22,52.6,8.0,4496,539,1621,1826,1093,161,4495,119,45,37.8,58,48.7,2382,12608,6726,126,95,20,139,51,2740,261
vs Pescara,29,49.9,8.0,4256,411,1449,1790,1057,194,4252,112,49,43.8,56,50.0,2246,11416,5815,114,79,32,126,53,2624,274
vs Reggiana,25,52.0,8.0,4619,395,1308,2041,1304,204,4619,125,50,40.0,63,50.4,2509,12296,6324,108,91,26,141,79,2935,305
vs Sampdoria,24,51.0,8.0,4299,495,1514,1834,993,157,4298,123,51,41.5,63,51.2,2136,11416,5936,104,91,22,121,63,2498,219
vs Spezia,22,53.0,8.0,4597,470,1525,1946,1155,135,4595,110,62,56.4,41,37.3,2656,13607,6923,132,110,25,123,54,2968,268
vs Südtirol,24,64.0,8.0,5194,586,1885,2225,1118,187,5193,124,52,41.9,56,45.2,2646,14874,7544,132,71,31,166,56,3232,299
vs Venezia,24,40.8,8.0,3497,476,1280,1354,896,142,3497,83,31,37.3,41,49.4,1755,9550,4565,95,65,19,108,49,1964,200
vs Virtus Entella,22,55.5,8.0,4674,469,1530,2176,1003,135,4671,111,51,45.9,40,36.0,2592,13205,6983,105,85,15,138,55,3016,262
