Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Avellino,24,27.6,47.1,8,88,720,8.0,10,6,16,10,0,0,19,3,8.5,8.5,5.5,14.0,90,220,1.25,0.75,2.0,1.25,2.0,1.06,0.69,1.74,1.06,1.74
Bari,24,27.4,50.9,8,88,720,8.0,8,5,13,7,1,1,14,1,8.4,7.7,5.7,13.4,128,245,1.0,0.62,1.62,0.87,1.5,1.04,0.71,1.76,0.96,1.67
Carrarese,24,26.3,48.0,8,88,720,8.0,13,9,22,10,3,3,18,0,10.0,7.7,5.9,13.6,135,269,1.62,1.13,2.75,1.25,2.37,1.26,0.73,1.99,0.97,1.7
Catanzaro,22,27.1,60.6,8,88,720,8.0,7,5,12,7,0,1,16,0,8.2,7.4,5.3,12.7,137,296,0.87,0.62,1.5,0.87,1.5,1.02,0.67,1.69,0.92,1.59
Cesena,21,26.7,48.5,8,88,720,8.0,13,7,20,12,1,1,16,1,16.3,15.6,12.3,27.8,134,276,1.62,0.87,2.5,1.5,2.37,2.04,1.53,3.57,1.94,3.48
Empoli,24,24.7,48.9,9,99,810,9.0,12,10,22,12,0,0,20,2,10.6,10.6,7.8,18.4,137,310,1.33,1.11,2.44,1.33,2.44,1.17,0.87,2.05,1.17,2.05
Frosinone,24,23.9,46.8,8,88,720,8.0,13,9,22,12,1,1,20,2,11.9,11.2,8.6,19.8,145,224,1.62,1.13,2.75,1.5,2.62,1.49,1.08,2.57,1.4,2.48
Juve Stabia,23,25.6,54.1,8,88,720,8.0,10,7,17,9,1,1,26,2,9.0,8.2,6.4,14.6,119,270,1.25,0.87,2.12,1.13,2.0,1.12,0.8,1.92,1.02,1.82
Mantova,23,26.3,63.1,8,88,720,8.0,6,2,8,4,2,4,19,0,12.6,9.5,7.1,16.5,144,307,0.75,0.25,1.0,0.5,0.75,1.57,0.88,2.46,1.18,2.07
Modena,20,28.1,51.6,9,99,810,9.0,14,8,22,9,5,6,22,0,16.3,11.7,9.4,21.1,170,334,1.56,0.89,2.44,1.0,1.89,1.82,1.05,2.86,1.3,2.35
Monza,22,28.1,51.8,8,88,720,8.0,8,5,13,8,0,0,16,1,11.0,11.0,7.6,18.7,142,306,1.0,0.62,1.62,1.0,1.62,1.38,0.95,2.33,1.38,2.33
Padova,20,29.1,47.4,8,88,720,8.0,8,6,14,7,1,1,16,2,7.9,7.1,4.7,11.8,113,257,1.0,0.75,1.75,0.87,1.62,0.99,0.59,1.57,0.89,1.48
Palermo,22,28.8,47.4,8,88,720,8.0,10,7,17,10,0,0,15,1,9.4,9.4,7.6,17.0,107,245,1.25,0.87,2.12,1.25,2.12,1.17,0.95,2.13,1.17,2.13
Pescara,29,25.9,50.1,8,88,720,8.0,12,12,24,12,0,0,13,1,6.1,6.1,5.4,11.5,108,228,1.5,1.5,3.0,1.5,3.0,0.76,0.68,1.44,0.76,1.44
Reggiana,25,25.4,48.0,8,88,720,8.0,13,11,24,12,1,1,13,0,6.5,5.7,4.8,10.5,147,211,1.62,1.37,3.0,1.5,2.87,0.81,0.6,1.41,0.71,1.31
Sampdoria,24,27.4,49.0,8,88,720,8.0,8,6,14,7,1,2,16,1,8.7,7.1,5.7,12.7,93,249,1.0,0.75,1.75,0.87,1.62,1.08,0.71,1.79,0.88,1.59
Spezia,22,26.4,47.0,8,88,720,8.0,4,3,7,3,1,2,15,3,7.3,5.7,4.1,9.7,86,234,0.5,0.37,0.87,0.37,0.75,0.91,0.51,1.42,0.71,1.22
Südtirol,24,27.0,36.0,8,88,720,8.0,12,8,20,11,1,1,16,1,10.3,9.5,7.0,16.5,52,233,1.5,1.0,2.5,1.37,2.37,1.28,0.87,2.15,1.19,2.06
Venezia,24,25.1,59.3,8,88,720,8.0,11,6,17,8,3,4,13,2,11.7,8.4,7.0,15.5,126,265,1.37,0.75,2.12,1.0,1.75,1.46,0.88,2.34,1.05,1.93
Virtus Entella,22,28.0,44.5,8,88,720,8.0,9,7,16,8,1,1,24,1,10.4,9.6,6.5,16.1,86,246,1.13,0.87,2.0,1.0,1.87,1.3,0.82,2.12,1.2,2.02
