Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arsenal,1,8.0,15,2,0,7,0,14.2,0.39,-0.8,-0.1,41,130,31.5,230,30,42.2,37.6,68,48.5,37.7,129,9,7.0,12,1.5,12.1
vs Aston Villa,2,8.0,8,0,0,1,0,6.3,0.25,-1.7,-0.21,39,111,35.1,195,37,36.4,35.5,57,70.2,50.0,103,12,11.7,11,1.38,15.1
vs Bournemouth,1,8.0,14,1,1,1,0,11.1,0.29,-2.9,-0.37,49,131,37.4,266,34,38.3,36.5,62,46.8,37.6,124,7,5.6,14,1.75,15.9
vs Brentford,1,8.0,11,1,0,0,0,11.3,0.36,0.3,0.04,32,88,36.4,221,39,31.7,33.2,48,37.5,34.4,99,15,15.2,8,1.0,12.6
vs Brighton,1,8.0,12,2,0,2,0,12.9,0.3,0.9,0.11,59,166,35.5,301,50,41.2,36.4,72,58.3,45.8,90,15,16.7,19,2.38,15.8
vs Burnley,1,8.0,9,0,0,1,0,7.3,0.36,-1.7,-0.21,29,66,43.9,215,25,27.9,31.7,44,13.6,21.9,70,6,8.6,9,1.13,15.4
vs Chelsea,2,8.0,16,1,1,6,0,17.2,0.46,1.2,0.15,36,118,30.5,221,40,41.6,36.3,59,44.1,35.3,95,4,4.2,13,1.63,14.8
vs Crystal Palace,1,8.0,12,2,0,2,0,13.9,0.31,1.9,0.24,31,102,30.4,250,43,30.0,31.9,61,44.3,40.0,90,11,12.2,18,2.25,15.3
vs Everton,1,8.0,9,1,0,2,0,7.7,0.27,-1.3,-0.16,28,113,24.8,248,37,37.1,35.4,56,37.5,29.6,95,5,5.3,1,0.13,11.2
vs Fulham,1,8.0,8,0,0,2,2,5.8,0.31,-0.2,-0.02,25,104,24.0,226,34,36.3,35.7,59,37.3,33.2,123,4,3.3,10,1.25,17.0
vs Leeds United,2,9.0,9,1,1,3,0,8.3,0.24,-0.7,-0.07,39,105,37.1,226,41,28.8,30.5,74,54.1,43.7,122,7,5.7,11,1.22,14.9
vs Liverpool,2,8.0,14,1,1,0,0,12.9,0.33,-1.1,-0.13,49,220,22.3,246,35,60.2,45.9,97,74.2,54.6,134,9,6.7,14,1.75,14.5
vs Manchester City,2,8.0,17,0,0,0,2,12.1,0.31,-2.9,-0.36,44,134,32.8,236,29,43.2,35.8,60,53.3,42.7,76,5,6.6,9,1.13,16.2
vs Manchester Utd,2,8.0,11,1,0,2,2,10.4,0.25,1.4,0.17,37,136,27.2,229,37,39.3,35.8,73,63.0,47.7,113,4,3.5,9,1.13,13.1
vs Newcastle Utd,1,8.0,7,1,0,1,0,10.3,0.34,3.3,0.41,37,165,22.4,232,40,56.0,42.3,67,52.2,39.2,138,7,5.1,14,1.75,15.3
vs Nott'ham Forest,1,8.0,5,0,0,2,0,6.5,0.23,1.5,0.19,28,112,25.0,247,54,34.8,34.5,69,37.7,33.0,158,11,7.0,7,0.88,11.8
vs Sunderland,1,8.0,9,1,0,1,1,7.0,0.3,-1.0,-0.13,45,145,31.0,246,33,45.5,37.2,64,51.6,42.9,109,5,4.6,8,1.0,13.6
vs Tottenham,1,8.0,14,0,0,3,1,11.5,0.4,-1.5,-0.19,39,157,24.8,222,27,50.0,40.2,77,59.7,45.5,152,10,6.6,14,1.75,13.2
vs West Ham,2,9.0,7,1,0,1,0,8.5,0.26,1.5,0.16,47,119,39.5,243,39,40.7,36.6,61,32.8,29.9,125,8,6.4,7,0.78,12.2
vs Wolves,2,8.0,5,0,0,1,1,5.7,0.24,1.7,0.21,32,116,27.6,208,31,40.4,37.3,60,53.3,43.9,121,10,8.3,12,1.5,14.2
