Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,8.0,3,0,1,1,0,3.2,0.18,0.2,0.03,40,115,34.8,245,37,38.4,34.1,38,55.3,42.2,70,6,8.6,15,1.88,20.3
Aston Villa,2,8.0,8,1,0,3,0,7.4,0.3,-0.6,-0.08,30,92,32.6,226,31,30.5,29.8,71,32.4,28.5,113,10,8.8,18,2.25,13.9
Bournemouth,1,8.0,11,1,0,2,0,11.9,0.33,0.9,0.11,33,104,31.7,187,42,33.7,33.0,66,62.1,49.5,102,13,12.7,18,2.25,14.6
Brentford,1,8.0,12,1,0,1,1,9.5,0.29,-1.5,-0.19,54,132,40.9,234,43,40.2,33.8,58,65.5,48.6,105,8,7.6,5,0.63,11.6
Brighton,1,8.0,11,1,0,1,2,9.8,0.36,0.8,0.1,21,104,20.2,236,36,37.7,32.8,68,22.1,22.3,104,3,2.9,7,0.88,14.7
Burnley,1,8.0,15,2,0,1,3,13.3,0.27,1.3,0.17,48,175,27.4,183,35,47.5,36.5,97,90.7,63.6,174,8,4.6,3,0.38,8.5
Chelsea,2,8.0,9,0,0,2,0,8.1,0.34,-0.9,-0.11,31,128,24.2,273,37,37.7,34.8,66,37.9,34.6,106,11,10.4,6,0.75,12.0
Crystal Palace,1,8.0,8,1,0,2,0,10.6,0.39,2.6,0.33,44,147,29.9,221,28,49.3,38.7,78,48.7,39.8,137,7,5.1,3,0.38,10.9
Everton,1,8.0,9,1,0,0,0,9.1,0.24,0.1,0.01,73,191,38.2,273,27,58.2,41.3,65,49.2,39.7,97,4,4.1,18,2.25,17.9
Fulham,1,8.0,12,2,0,2,1,10.4,0.28,-0.6,-0.07,28,98,28.6,249,42,28.9,30.1,68,38.2,32.5,103,8,7.8,9,1.13,13.3
Leeds United,2,9.0,14,1,1,2,1,9.3,0.28,-3.7,-0.41,58,198,29.3,292,45,52.4,37.7,71,63.4,45.9,136,10,7.4,6,0.67,11.4
Liverpool,2,8.0,11,0,0,2,0,9.1,0.35,-1.9,-0.23,32,83,38.6,289,43,24.6,29.5,54,22.2,25.2,102,5,4.9,13,1.63,14.4
Manchester City,2,8.0,6,1,0,0,0,8.2,0.31,2.2,0.27,25,84,29.8,214,27,29.9,29.0,51,39.2,33.6,87,7,8.0,15,1.88,7.8
Manchester Utd,2,8.0,12,0,0,2,0,12.7,0.41,0.7,0.09,46,177,26.0,231,18,61.0,37.5,54,66.7,48.5,109,10,9.2,10,1.25,13.0
Newcastle Utd,1,8.0,7,0,0,2,0,7.5,0.26,0.5,0.07,17,89,19.1,184,64,31.0,33.4,47,68.1,50.1,96,18,18.8,28,3.5,18.8
Nott'ham Forest,1,8.0,15,3,1,2,0,15.9,0.32,0.9,0.11,21,82,25.6,161,31,44.1,35.8,59,18.6,24.2,114,4,3.5,7,0.88,13.5
Sunderland,1,8.0,6,0,0,1,0,8.6,0.26,2.6,0.32,38,142,26.8,235,23,41.7,35.9,74,59.5,46.1,137,12,8.8,11,1.38,13.0
Tottenham,1,8.0,7,0,0,1,0,8.1,0.29,1.1,0.14,27,80,33.8,263,40,22.1,28.7,75,29.3,30.4,89,3,3.4,16,2.0,17.9
West Ham,2,9.0,20,1,0,9,0,16.3,0.35,-3.7,-0.42,41,152,27.0,255,47,44.3,35.3,72,54.2,41.9,150,9,6.0,2,0.22,8.0
Wolves,2,8.0,16,0,1,2,1,11.9,0.38,-3.1,-0.39,59,165,35.8,257,39,49.4,40.6,56,67.9,52.8,135,8,5.9,10,1.25,14.0
