Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,22,8.0,122,73,51,49,22,51,98,52.0,47,76,23,53,48,170,178,4
Aston Villa,23,8.0,112,69,52,47,13,48,95,50.5,47,86,31,55,43,155,183,3
Bournemouth,23,8.0,144,81,59,63,22,69,135,51.1,66,101,23,78,72,216,275,2
Brentford,20,8.0,128,70,49,56,23,59,106,55.7,47,111,35,76,56,184,225,2
Brighton,21,8.0,159,100,69,61,29,82,155,52.9,73,94,20,74,59,218,218,2
Burnley,22,8.0,136,75,68,55,13,58,118,49.2,60,113,43,70,90,226,272,4
Chelsea,25,8.0,139,81,61,56,22,77,123,62.6,46,71,23,48,90,229,162,9
Crystal Palace,20,8.0,172,107,94,61,17,80,148,54.1,68,88,21,67,69,241,275,8
Everton,19,8.0,136,87,65,54,17,66,116,56.9,50,101,45,56,64,200,240,9
Fulham,21,8.0,144,82,82,47,15,62,109,56.9,47,77,24,53,51,195,219,6
Leeds United,22,9.0,170,103,75,73,22,89,156,57.1,67,87,20,67,81,251,255,3
Liverpool,22,8.0,104,68,52,35,17,51,100,51.0,49,82,22,60,56,160,253,8
Manchester City,23,8.0,116,69,51,46,19,59,100,59.0,41,62,20,42,52,168,220,7
Manchester Utd,20,8.0,147,90,69,61,17,78,128,60.9,50,73,16,57,55,202,207,6
Newcastle Utd,21,8.0,106,65,52,44,10,49,119,41.2,70,76,22,54,66,172,191,3
Nott'ham Forest,25,8.0,114,69,49,39,26,58,122,47.5,64,80,24,56,62,176,186,11
Sunderland,23,8.0,138,74,69,51,18,78,121,64.5,43,83,30,53,64,202,282,7
Tottenham,20,8.0,151,91,63,67,21,64,116,55.2,52,64,16,48,46,197,204,10
West Ham,25,9.0,121,68,62,47,12,56,103,54.4,47,93,39,54,53,174,285,4
Wolves,23,8.0,185,106,98,59,28,100,172,58.1,72,80,27,53,69,254,238,6
