Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,22,26.2,8,720,90,100,8.0,88,80,51,37,25,35,2.38,15,3,12,1.5,13.6,4.7,8.9,1.11
Aston Villa,23,28.4,8,720,90,100,8.0,88,82,54,35,20,37,1.5,8,8,0,0.0,6.3,10.6,-4.3,-0.54
Bournemouth,23,25.8,8,720,90,100,8.0,88,82,50,38,18,34,1.88,14,11,3,0.37,10.4,10.7,-0.3,-0.04
Brentford,20,25.3,8,720,90,100,8.0,88,84,53,35,14,37,1.25,11,12,-1,-0.12,10.7,10.0,0.7,0.08
Brighton,21,26.1,8,720,90,100,8.0,88,79,50,38,24,34,1.5,12,11,1,0.12,12.1,10.5,1.6,0.2
Burnley,22,27.6,8,720,90,100,8.0,88,84,53,34,15,38,0.88,9,15,-6,-0.75,5.4,15.8,-10.4,-1.31
Chelsea,25,24.4,8,720,90,100,8.0,88,76,49,37,30,35,1.75,16,9,7,0.87,12.5,11.9,0.7,0.08
Crystal Palace,20,26.8,8,720,90,100,8.0,88,86,65,23,16,49,1.63,12,8,4,0.5,17.1,10.8,6.3,0.79
Everton,19,28.5,8,720,90,100,8.0,88,85,62,26,17,46,1.38,9,9,0,0.0,10.8,11.9,-1.1,-0.13
Fulham,21,28.2,8,720,90,100,8.0,88,80,49,39,22,33,1.0,8,12,-4,-0.5,7.7,10.7,-3.0,-0.38
Leeds United,22,27.1,9,810,90,100,9.0,99,83,60,40,17,41,1.22,9,14,-5,-0.56,11.6,9.0,2.6,0.29
Liverpool,22,27.0,8,720,90,100,8.0,88,81,51,37,21,35,1.88,14,11,3,0.37,13.6,9.2,4.3,0.54
Manchester City,23,25.6,8,720,90,100,8.0,88,82,53,35,20,37,2.0,17,6,11,1.37,14.4,8.2,6.3,0.78
Manchester Utd,20,26.5,8,720,90,100,8.0,88,81,51,36,22,36,1.63,11,12,-1,-0.12,14.9,12.5,2.4,0.3
Newcastle Utd,21,28.0,8,720,90,100,8.0,88,82,53,34,19,38,1.13,7,7,0,0.0,9.8,5.7,4.1,0.52
Nott'ham Forest,25,26.7,8,720,90,100,8.0,88,82,54,34,21,38,0.63,5,15,-10,-1.25,8.7,14.1,-5.3,-0.67
Sunderland,23,25.4,8,720,90,100,8.0,88,81,53,34,22,38,1.75,9,6,3,0.37,7.4,9.5,-2.1,-0.27
Tottenham,20,25.6,8,720,90,100,8.0,88,84,52,36,15,35,1.75,14,7,7,0.87,8.2,9.0,-0.8,-0.1
West Ham,25,27.3,9,810,90,100,9.0,99,82,65,33,24,48,0.44,7,20,-13,-1.44,7.6,14.9,-7.3,-0.82
Wolves,23,26.9,8,720,90,100,8.0,88,79,48,39,24,33,0.25,5,16,-11,-1.37,6.9,10.0,-3.1,-0.39
